scene_name,video_num,frame_num,PSNR
Theater,5,0,28.887604767146904
Theater,5,1,28.85474680107198
Theater,5,2,28.894146645517655
Theater,5,3,28.915804554843465
Theater,5,4,28.904713788778835
Theater,5,5,28.931814538018127
Theater,5,6,28.923490630820687
Theater,5,7,28.94143007405148
Theater,5,8,28.927898043302736
Theater,5,9,28.933020902195988
Theater,5,10,28.919796494216765
Theater,5,11,28.933297729183003
Theater,5,12,28.928174543931796
Theater,5,13,28.94687558170142
Theater,5,14,28.911689567106663
Theater,5,15,28.90136690980288
Theater,5,16,28.80175734790065
Theater,5,17,28.8323687609611
Theater,5,18,28.82745621154005
Theater,5,19,28.819048925632135
Theater,5,20,28.824505407249635
Theater,5,21,28.82279518282217
Theater,5,22,28.83563541208432
Theater,5,23,28.82724548357087
Theater,5,24,28.823034997824433
Theater,5,25,28.76031102157846
Theater,5,26,28.67326617629598
Theater,5,27,28.619596626966732
Theater,5,28,28.592895361046764
Theater,5,29,28.636363452275155
Theater,5,30,28.611653498809947
Theater,5,31,28.672228155298562
Theater,5,32,28.62476014980458
Theater,5,33,28.625337037228036
Theater,5,34,28.64672777724372
Theater,5,35,28.58675652133217
Theater,5,36,28.519186084640992
Theater,5,37,28.478329817296686
Theater,5,38,28.451013360385744
Theater,5,39,28.449136260772118
Theater,5,40,28.442377641325084
Theater,5,41,28.492182082834834
Theater,5,42,28.523485095876534
Theater,5,43,28.623236518782846
Theater,5,44,28.679174620337363
Theater,5,45,28.62126509947013
Theater,5,46,28.58990086185251
Theater,5,47,28.588428129931735
Theater,5,48,28.503950488710462
Theater,5,49,28.527747301448166
Theater,5,50,28.51217515624823
Theater,5,51,28.538196909858957
Theater,5,52,28.532847784569178
Theater,5,53,28.53163294340208
Theater,5,54,28.47152707097374
Theater,5,55,28.52486000840926
Theater,5,56,28.555745489538037
Theater,5,57,28.45529887600084
Theater,5,58,28.417216683644874
Theater,5,59,28.43753431043114
Theater,5,60,28.452489779976172
Theater,5,61,28.451751684427133
Theater,5,62,28.43367304849523
Theater,5,63,28.450672556108103
Theater,5,64,28.509708200729307
Theater,5,65,28.54748175753535
Theater,5,66,28.553448611889642
Theater,5,67,28.51567543387976
Theater,5,68,28.56695479000606
Theater,5,69,28.6459233500631
Theater,5,70,28.68888091670303
Theater,5,71,28.68060233612671
Theater,5,72,28.66907203995318
Theater,5,73,28.646876980993664
Theater,5,74,28.575156272995184
Theater,5,75,28.594196959598808
Theater,5,76,28.58677404851917
Theater,5,77,28.58872913896535
Theater,5,78,28.59758499254655
Theater,5,79,28.623765696237502
Theater,5,80,28.507909552326872
Theater,5,81,28.463039660078184
Theater,5,82,28.400305748681724
Theater,5,83,28.458512510827582
Theater,5,84,28.422454365285766
Theater,5,85,28.49178194402297
Theater,5,86,28.57735280338222
Theater,5,87,28.62246257018111
Theater,5,88,28.639426761729126
Theater,5,89,28.714922580945487
Theater,5,90,28.529887181841033
Theater,5,91,28.490773543398543
Theater,5,92,28.489315116657426
Theater,5,93,28.5228715646518
Theater,5,94,28.535861292792735
Theater,5,95,28.537671918322523
Theater,5,96,28.54205794387582
Theater,5,97,28.461274422189025
Theater,5,98,28.47081488650059
Theater,5,99,28.421849316340165
Theater,5,100,28.34711832478554
Theater,5,101,28.329163584116973
Theater,5,102,28.354075941684545
Theater,5,103,28.352545063547858
Theater,5,104,28.319757258828304
Theater,5,105,28.411151667425763
Theater,5,106,28.490312464765584
Theater,5,107,28.433039648339296
Theater,5,108,28.420929775234903
Theater,5,109,28.468742642545294
Theater,5,110,28.34573014150862
Theater,5,111,28.39248033708006
Theater,5,112,28.389099898261062
Theater,5,113,28.377439533806236
Theater,5,114,28.19786573640527
Theater,5,115,28.209624614926703
Theater,5,116,28.151333655419613
Theater,5,117,28.03989529359992
Theater,5,118,27.922852258760447
Theater,5,119,27.898307155593145
Theater,5,120,27.846390898224534
Theater,5,121,27.778362329272706
