scene_name,video_num,frame_num,RMSE
Theater,5,0,0.03594345
Theater,5,1,0.03607968
Theater,5,2,0.035916388
Theater,5,3,0.035826944
Theater,5,4,0.03587272
Theater,5,5,0.03576097
Theater,5,6,0.035795256
Theater,5,7,0.035721403
Theater,5,8,0.035777096
Theater,5,9,0.035756003
Theater,5,10,0.03581048
Theater,5,11,0.035754863
Theater,5,12,0.03577596
Theater,5,13,0.035699014
Theater,5,14,0.035843924
Theater,5,15,0.035886545
Theater,5,16,0.03630046
Theater,5,17,0.03617275
Theater,5,18,0.036193218
Theater,5,19,0.036228266
Theater,5,20,0.036205515
Theater,5,21,0.036212645
Theater,5,22,0.03615915
Theater,5,23,0.036194094
Theater,5,24,0.036211643
Theater,5,25,0.03647409
Theater,5,26,0.03684145
Theater,5,27,0.037069794
Theater,5,28,0.037183926
Theater,5,29,0.036998305
Theater,5,30,0.03710371
Theater,5,31,0.03684585
Theater,5,32,0.037047762
Theater,5,33,0.037045304
Theater,5,34,0.036954183
Theater,5,35,0.037210215
Theater,5,36,0.037500814
Theater,5,37,0.037677623
Theater,5,38,0.037796304
Theater,5,39,0.037804473
Theater,5,40,0.0378339
Theater,5,41,0.037617583
Theater,5,42,0.037482258
Theater,5,43,0.037054263
Theater,5,44,0.036816396
Theater,5,45,0.037062675
Theater,5,46,0.037196748
Theater,5,47,0.037203055
Theater,5,48,0.03756665
Theater,5,49,0.03746387
Theater,5,50,0.037531096
Theater,5,51,0.037418827
Theater,5,52,0.037441876
Theater,5,53,0.037447114
Theater,5,54,0.037707146
Theater,5,55,0.037476324
Theater,5,56,0.0373433
Theater,5,57,0.03777766
Theater,5,58,0.037943654
Theater,5,59,0.037855003
Theater,5,60,0.03778988
Theater,5,61,0.037793092
Theater,5,62,0.037871834
Theater,5,63,0.037797786
Theater,5,64,0.03754176
Theater,5,65,0.037378848
Theater,5,66,0.03735318
Theater,5,67,0.037515976
Theater,5,68,0.03729514
Theater,5,69,0.036957607
Theater,5,70,0.036775276
Theater,5,71,0.036810346
Theater,5,72,0.03685924
Theater,5,73,0.03695355
Theater,5,74,0.037259944
Theater,5,75,0.037178352
Theater,5,76,0.03721014
Theater,5,77,0.037201766
Theater,5,78,0.037163854
Theater,5,79,0.037052006
Theater,5,80,0.037549533
Theater,5,81,0.037744008
Theater,5,82,0.0380176
Theater,5,83,0.037763685
Theater,5,84,0.03792078
Theater,5,85,0.037619315
Theater,5,86,0.037250523
Theater,5,87,0.037057564
Theater,5,88,0.03698526
Theater,5,89,0.036665183
Theater,5,90,0.037454642
Theater,5,91,0.037623685
Theater,5,92,0.037630003
Theater,5,93,0.037484907
Theater,5,94,0.03742889
Theater,5,95,0.03742109
Theater,5,96,0.037402198
Theater,5,97,0.03775168
Theater,5,98,0.03771024
Theater,5,99,0.03792342
Theater,5,100,0.038251113
Theater,5,101,0.038330264
Theater,5,102,0.038220488
Theater,5,103,0.038227223
Theater,5,104,0.038371798
Theater,5,105,0.03797016
Theater,5,106,0.03762568
Theater,5,107,0.037874598
Theater,5,108,0.037927438
Theater,5,109,0.037719235
Theater,5,110,0.038257226
Theater,5,111,0.03805187
Theater,5,112,0.03806668
Theater,5,113,0.03811782
Theater,5,114,0.038914077
Theater,5,115,0.038861427
Theater,5,116,0.039123107
Theater,5,117,0.039628282
Theater,5,118,0.04016589
Theater,5,119,0.040279552
Theater,5,120,0.04052103
Theater,5,121,0.04083964
Theater,5,122,0.04124686
Theater,5,123,0.04110936
Theater,5,124,0.041194547
Theater,5,125,0.04098442
Theater,5,126,0.039924346
Theater,5,127,0.039289385
Theater,5,128,0.038421985
Theater,5,129,0.038055725
Theater,5,130,0.037906356
Theater,5,131,0.03823845
Theater,5,132,0.039401937
Theater,5,133,0.03936838
Theater,5,134,0.038347933
Theater,5,135,0.038097117
Theater,5,136,0.03756016
Theater,5,137,0.037861533
Theater,5,138,0.038338367
Theater,5,139,0.03842347
Theater,5,140,0.03776979
Theater,5,141,0.03763504
Theater,5,142,0.03708916
Theater,5,143,0.0372624
Theater,5,144,0.037053257
Theater,5,145,0.036682118
Theater,5,146,0.03643976
Theater,5,147,0.03632354
Theater,5,148,0.03635805
Theater,5,149,0.03617482
Theater,5,150,0.03622177
Theater,5,151,0.036110844
Theater,5,152,0.0361062
Theater,5,153,0.035549715
Theater,5,154,0.035470415
Theater,5,155,0.035280343
Theater,5,156,0.03535428
Theater,5,157,0.035591565
Theater,5,158,0.037106216
Theater,5,159,0.036445238
Theater,5,160,0.035511274
Theater,5,161,0.034726184
Theater,5,162,0.035537243
Theater,5,163,0.035312936
Theater,5,164,0.03557602
Theater,5,165,0.036540627
Theater,5,166,0.03520796
Theater,5,167,0.036315616
Theater,5,168,0.038281713
