scene_name,video_num,frame_num,MSE
Theater,5,0,0.0012919316
Theater,5,1,0.0013017432
Theater,5,2,0.001289987
Theater,5,3,0.00128357
Theater,5,4,0.001286852
Theater,5,5,0.0012788469
Theater,5,6,0.0012813003
Theater,5,7,0.0012760186
Theater,5,8,0.0012800007
Theater,5,9,0.0012784917
Theater,5,10,0.0012823907
Theater,5,11,0.0012784102
Theater,5,12,0.0012799192
Theater,5,13,0.0012744196
Theater,5,14,0.0012847867
Theater,5,15,0.0012878441
Theater,5,16,0.0013177234
Theater,5,17,0.001308468
Theater,5,18,0.001309949
Theater,5,19,0.0013124873
Theater,5,20,0.0013108393
Theater,5,21,0.0013113556
Theater,5,22,0.0013074842
Theater,5,23,0.0013100125
Theater,5,24,0.0013112832
Theater,5,25,0.0013303591
Theater,5,26,0.0013572923
Theater,5,27,0.0013741696
Theater,5,28,0.0013826443
Theater,5,29,0.0013688746
Theater,5,30,0.0013766852
Theater,5,31,0.0013576167
Theater,5,32,0.0013725368
Theater,5,33,0.0013723545
Theater,5,34,0.0013656117
Theater,5,35,0.0013846001
Theater,5,36,0.001406311
Theater,5,37,0.0014196034
Theater,5,38,0.0014285606
Theater,5,39,0.0014291782
Theater,5,40,0.001431404
Theater,5,41,0.0014150826
Theater,5,42,0.0014049197
Theater,5,43,0.0013730184
Theater,5,44,0.001355447
Theater,5,45,0.0013736418
Theater,5,46,0.001383598
Theater,5,47,0.0013840672
Theater,5,48,0.0014112532
Theater,5,49,0.0014035415
Theater,5,50,0.0014085831
Theater,5,51,0.0014001685
Theater,5,52,0.0014018941
Theater,5,53,0.0014022863
Theater,5,54,0.0014218288
Theater,5,55,0.001404475
Theater,5,56,0.0013945223
Theater,5,57,0.0014271516
Theater,5,58,0.001439721
Theater,5,59,0.0014330012
Theater,5,60,0.001428075
Theater,5,61,0.0014283177
Theater,5,62,0.0014342759
Theater,5,63,0.0014286727
Theater,5,64,0.0014093835
Theater,5,65,0.0013971783
Theater,5,66,0.00139526
Theater,5,67,0.0014074483
Theater,5,68,0.0013909276
Theater,5,69,0.0013658646
Theater,5,70,0.001352421
Theater,5,71,0.0013550015
Theater,5,72,0.0013586037
Theater,5,73,0.0013655648
Theater,5,74,0.0013883034
Theater,5,75,0.00138223
Theater,5,76,0.0013845945
Theater,5,77,0.0013839713
Theater,5,78,0.0013811521
Theater,5,79,0.0013728511
Theater,5,80,0.0014099673
Theater,5,81,0.0014246101
Theater,5,82,0.001445338
Theater,5,83,0.001426096
Theater,5,84,0.0014379857
Theater,5,85,0.001415213
Theater,5,86,0.0013876014
Theater,5,87,0.0013732631
Theater,5,88,0.0013679094
Theater,5,89,0.0013443357
Theater,5,90,0.0014028501
Theater,5,91,0.0014155416
Theater,5,92,0.0014160171
Theater,5,93,0.0014051181
Theater,5,94,0.0014009217
Theater,5,95,0.0014003378
Theater,5,96,0.0013989243
Theater,5,97,0.0014251893
Theater,5,98,0.0014220619
Theater,5,99,0.001438186
Theater,5,100,0.0014631477
Theater,5,101,0.0014692092
Theater,5,102,0.0014608055
Theater,5,103,0.0014613206
Theater,5,104,0.0014723948
Theater,5,105,0.001441733
Theater,5,106,0.0014156919
Theater,5,107,0.0014344851
Theater,5,108,0.0014384906
Theater,5,109,0.0014227406
