scene_name,pred_video_num,pred_frame_num,DepthRMSE01
coffee_martini,0,0,0.3626
coffee_martini,0,1,0.363
coffee_martini,0,2,0.3629
coffee_martini,0,3,0.3622
coffee_martini,0,4,0.3611
coffee_martini,0,5,0.3614
coffee_martini,0,6,0.3616
coffee_martini,0,7,0.3613
coffee_martini,0,8,0.3629
coffee_martini,0,9,0.3615
coffee_martini,0,10,0.3616
coffee_martini,0,11,0.3617
coffee_martini,0,12,0.3615
coffee_martini,0,13,0.3615
coffee_martini,0,14,0.3616
coffee_martini,0,15,0.3618
coffee_martini,0,16,0.3618
coffee_martini,0,17,0.362
coffee_martini,0,18,0.3621
coffee_martini,0,19,0.3621
coffee_martini,0,20,0.3619
coffee_martini,0,21,0.3619
coffee_martini,0,22,0.3619
coffee_martini,0,23,0.3619
coffee_martini,0,24,0.3619
coffee_martini,0,25,0.362
coffee_martini,0,26,0.362
coffee_martini,0,27,0.3618
coffee_martini,0,28,0.3615
coffee_martini,0,29,0.3615
coffee_martini,0,30,0.3615
coffee_martini,0,31,0.3616
coffee_martini,0,32,0.3615
coffee_martini,0,33,0.3615
coffee_martini,0,34,0.3614
coffee_martini,0,35,0.3612
coffee_martini,0,36,0.3611
coffee_martini,0,37,0.3611
coffee_martini,0,38,0.3611
coffee_martini,0,39,0.361
coffee_martini,0,40,0.3609
coffee_martini,0,41,0.3609
coffee_martini,0,42,0.3609
coffee_martini,0,43,0.3609
coffee_martini,0,44,0.3609
coffee_martini,0,45,0.3608
coffee_martini,0,46,0.361
coffee_martini,0,47,0.361
coffee_martini,0,48,0.3613
coffee_martini,0,49,0.3614
coffee_martini,0,50,0.3614
coffee_martini,0,51,0.3614
coffee_martini,0,52,0.3613
coffee_martini,0,53,0.3613
coffee_martini,0,54,0.3612
coffee_martini,0,55,0.3612
coffee_martini,0,56,0.3613
coffee_martini,0,57,0.3613
coffee_martini,0,58,0.3613
coffee_martini,0,59,0.3613
coffee_martini,0,60,0.3613
coffee_martini,0,61,0.3614
coffee_martini,0,62,0.3614
coffee_martini,0,63,0.3614
coffee_martini,0,64,0.3612
coffee_martini,0,65,0.3613
coffee_martini,0,66,0.3613
coffee_martini,0,67,0.3613
coffee_martini,0,68,0.3611
coffee_martini,0,69,0.3611
coffee_martini,0,70,0.3611
coffee_martini,0,71,0.3612
coffee_martini,0,72,0.3611
coffee_martini,0,73,0.3611
coffee_martini,0,74,0.3611
coffee_martini,0,75,0.3611
coffee_martini,0,76,0.361
coffee_martini,0,77,0.3611
coffee_martini,0,78,0.3612
coffee_martini,0,79,0.3614
coffee_martini,0,80,0.3613
coffee_martini,0,81,0.3612
coffee_martini,0,82,0.3612
coffee_martini,0,83,0.3612
coffee_martini,0,84,0.361
coffee_martini,0,85,0.361
coffee_martini,0,86,0.361
coffee_martini,0,87,0.3611
coffee_martini,0,88,0.3611
coffee_martini,0,89,0.3611
coffee_martini,0,90,0.3612
coffee_martini,0,91,0.3613
coffee_martini,0,92,0.3612
coffee_martini,0,93,0.3611
coffee_martini,0,94,0.3612
coffee_martini,0,95,0.3612
coffee_martini,0,96,0.3611
coffee_martini,0,97,0.3611
coffee_martini,0,98,0.3611
coffee_martini,0,99,0.3611
coffee_martini,0,100,0.3609
coffee_martini,0,101,0.3608
coffee_martini,0,102,0.3608
coffee_martini,0,103,0.3608
coffee_martini,0,104,0.3606
coffee_martini,0,105,0.3606
coffee_martini,0,106,0.361
coffee_martini,0,107,0.3612
coffee_martini,0,108,0.3614
coffee_martini,0,109,0.361
coffee_martini,0,110,0.3609
coffee_martini,0,111,0.3611
coffee_martini,0,112,0.3622
coffee_martini,0,113,0.3629
coffee_martini,0,114,0.3629
coffee_martini,0,115,0.3619
coffee_martini,0,116,0.3616
coffee_martini,0,117,0.3632
coffee_martini,0,118,0.3639
coffee_martini,0,119,0.3639
coffee_martini,0,120,0.3628
coffee_martini,0,121,0.3628
coffee_martini,0,122,0.3635
coffee_martini,0,123,0.3641
coffee_martini,0,124,0.3641
coffee_martini,0,125,0.364
coffee_martini,0,126,0.3637
coffee_martini,0,127,0.3636
coffee_martini,0,128,0.3636
coffee_martini,0,129,0.3633
coffee_martini,0,130,0.3635
coffee_martini,0,131,0.3641
coffee_martini,0,132,0.3642
coffee_martini,0,133,0.3639
coffee_martini,0,134,0.3643
coffee_martini,0,135,0.3642
coffee_martini,0,136,0.3645
coffee_martini,0,137,0.3642
coffee_martini,0,138,0.3644
coffee_martini,0,139,0.3643
coffee_martini,0,140,0.3644
coffee_martini,0,141,0.364
coffee_martini,0,142,0.3643
coffee_martini,0,143,0.3642
coffee_martini,0,144,0.3644
coffee_martini,0,145,0.3641
coffee_martini,0,146,0.3641
coffee_martini,0,147,0.364
coffee_martini,0,148,0.3638
coffee_martini,0,149,0.3635
coffee_martini,0,150,0.3634
coffee_martini,0,151,0.3634
coffee_martini,0,152,0.3635
coffee_martini,0,153,0.3633
coffee_martini,0,154,0.3633
coffee_martini,0,155,0.3634
coffee_martini,0,156,0.3635
coffee_martini,0,157,0.3637
coffee_martini,0,158,0.3638
coffee_martini,0,159,0.3642
coffee_martini,0,160,0.3643
