scene_name,pred_video_num,DepthRMSE01
coffee_martini,0,0.3627
cook_spinach,0,0.2832
cut_roasted_beef,0,0.269
flame_salmon_1,0,0.3511
flame_steak,0,0.2143
sear_steak,0,0.2169
