scene_name,video_num,RMSE
coffee_martini,0,0.0829
cook_spinach,0,0.0485
cut_roasted_beef,0,0.0464
flame_salmon_1,0,0.0915
flame_steak,0,0.04
sear_steak,0,0.0441
