scene_name,pred_video_num,DepthMAE01
coffee_martini,0,0.2095
cook_spinach,0,0.1601
cut_roasted_beef,0,0.162
flame_salmon_1,0,0.1877
flame_steak,0,0.132
sear_steak,0,0.1345
