scene_name,video_num,LPIPS_VGG
coffee_martini,0,0.3782
cook_spinach,0,0.3218
cut_roasted_beef,0,0.3212
flame_salmon_1,0,0.4052
flame_steak,0,0.2859
sear_steak,0,0.3001
