scene_name,video_num,LPIPS_Alex
coffee_martini,0,0.27
cook_spinach,0,0.185
cut_roasted_beef,0,0.1925
flame_salmon_1,0,0.3194
flame_steak,0,0.1541
sear_steak,0,0.1669
