scene_name,video_num,MS_SSIM
coffee_martini,0,0.8233
cook_spinach,0,0.9043
cut_roasted_beef,0,0.9135
flame_salmon_1,0,0.7776
flame_steak,0,0.933
sear_steak,0,0.9192
