scene_name,video_num,frame_num,LPIPS_VGG
Painter,5,0,0.0882422998547554
Painter,5,1,0.0858612209558487
Painter,5,2,0.0867699384689331
Painter,5,3,0.08596646785736084
Painter,5,4,0.08662961423397064
Painter,5,5,0.08531489968299866
Painter,5,6,0.08609597384929657
Painter,5,7,0.08462781459093094
Painter,5,8,0.08524830639362335
Painter,5,9,0.0852898359298706
Painter,5,10,0.08642351627349854
Painter,5,11,0.08498834073543549
Painter,5,12,0.08583905547857285
Painter,5,13,0.08708910644054413
Painter,5,14,0.08900755643844604
Painter,5,15,0.08820796757936478
Painter,5,16,0.09120967984199524
Painter,5,17,0.09032507985830307
Painter,5,18,0.09372404217720032
Painter,5,19,0.09456157684326172
Painter,5,20,0.09642180055379868
Painter,5,21,0.09940360486507416
Painter,5,22,0.10209748893976212
Painter,5,23,0.10153673589229584
Painter,5,24,0.10287215560674667
Painter,5,25,0.10577214509248734
Painter,5,26,0.10852862149477005
Painter,5,27,0.11014377325773239
Painter,5,28,0.11375054717063904
Painter,5,29,0.11451523005962372
Painter,5,30,0.1164322942495346
Painter,5,31,0.1151166558265686
Painter,5,32,0.1165572851896286
Painter,5,33,0.11728036403656006
Painter,5,34,0.1158527359366417
Painter,5,35,0.11489050090312958
Painter,5,36,0.11307776719331741
Painter,5,37,0.1115206703543663
Painter,5,38,0.10962428152561188
Painter,5,39,0.10826656222343445
Painter,5,40,0.10725384205579758
Painter,5,41,0.11089584976434708
Painter,5,42,0.11097842454910278
Painter,5,43,0.11112290620803833
Painter,5,44,0.11026468873023987
Painter,5,45,0.11219565570354462
Painter,5,46,0.11211858689785004
Painter,5,47,0.11195788532495499
Painter,5,48,0.1151152104139328
Painter,5,49,0.11515443027019501
Painter,5,50,0.11654995381832123
Painter,5,51,0.11556022614240646
Painter,5,52,0.11564336717128754
Painter,5,53,0.11566999554634094
Painter,5,54,0.11715176701545715
Painter,5,55,0.11771723628044128
Painter,5,56,0.11686725914478302
Painter,5,57,0.11690939962863922
Painter,5,58,0.11789265275001526
Painter,5,59,0.11632917076349258
Painter,5,60,0.1165948212146759
Painter,5,61,0.11876362562179565
Painter,5,62,0.11732989549636841
Painter,5,63,0.1200818121433258
Painter,5,64,0.11919452250003815
Painter,5,65,0.12058505415916443
Painter,5,66,0.1197437047958374
Painter,5,67,0.11846131086349487
Painter,5,68,0.11924721300601959
Painter,5,69,0.11733748018741608
Painter,5,70,0.11858654767274857
Painter,5,71,0.11764944344758987
Painter,5,72,0.1167834997177124
Painter,5,73,0.11774009466171265
Painter,5,74,0.11846336722373962
Painter,5,75,0.11759340763092041
Painter,5,76,0.11741930991411209
Painter,5,77,0.11958524584770203
Painter,5,78,0.12117282301187515
Painter,5,79,0.11954878270626068
Painter,5,80,0.12089341878890991
Painter,5,81,0.11917668581008911
Painter,5,82,0.1222655326128006
Painter,5,83,0.12034595012664795
Painter,5,84,0.12117059528827667
Painter,5,85,0.12073209881782532
Painter,5,86,0.12241364270448685
Painter,5,87,0.12072533369064331
Painter,5,88,0.12250608950853348
Painter,5,89,0.11930413544178009
Painter,5,90,0.12047701328992844
Painter,5,91,0.11851642280817032
Painter,5,92,0.12030830979347229
Painter,5,93,0.11837021261453629
Painter,5,94,0.11824630200862885
Painter,5,95,0.11814864724874496
Painter,5,96,0.12108173221349716
Painter,5,97,0.11902021616697311
Painter,5,98,0.1199256032705307
Painter,5,99,0.11886399239301682
Painter,5,100,0.12072806060314178
Painter,5,101,0.1191595122218132
Painter,5,102,0.11977854371070862
Painter,5,103,0.12050831317901611
Painter,5,104,0.12320324033498764
Painter,5,105,0.12084034085273743
Painter,5,106,0.12308105826377869
Painter,5,107,0.11945975571870804
Painter,5,108,0.12039418518543243
Painter,5,109,0.1188969612121582
Painter,5,110,0.11963249742984772
Painter,5,111,0.11647143959999084
Painter,5,112,0.11643610894680023
Painter,5,113,0.11620879918336868
Painter,5,114,0.11762654036283493
Painter,5,115,0.11567193269729614
Painter,5,116,0.11643712222576141
Painter,5,117,0.11681821942329407
Painter,5,118,0.11819484829902649
Painter,5,119,0.11657816171646118
Painter,5,120,0.11661983281373978
Painter,5,121,0.11592535674571991
Painter,5,122,0.1168132796883583
Painter,5,123,0.11528420448303223
Painter,5,124,0.11606523394584656
Painter,5,125,0.11598703265190125
Painter,5,126,0.11652550101280212
Painter,5,127,0.11461525410413742
Painter,5,128,0.11434662342071533
Painter,5,129,0.11431136727333069
Painter,5,130,0.11541531980037689
Painter,5,131,0.1146676167845726
Painter,5,132,0.11489562690258026
Painter,5,133,0.11482226848602295
Painter,5,134,0.11625733226537704
Painter,5,135,0.11487366259098053
Painter,5,136,0.11540281772613525
Painter,5,137,0.1154412031173706
Painter,5,138,0.11661826074123383
Painter,5,139,0.11568289250135422
Painter,5,140,0.11644107848405838
Painter,5,141,0.11654076725244522
Painter,5,142,0.11798497289419174
Painter,5,143,0.11596046388149261
Painter,5,144,0.11755434423685074
Painter,5,145,0.11791716516017914
Painter,5,146,0.11955828964710236
Painter,5,147,0.11817442625761032
Painter,5,148,0.11915275454521179
Painter,5,149,0.11860668659210205
Painter,5,150,0.12048101425170898
Painter,5,151,0.11755193769931793
Painter,5,152,0.11744478344917297
Painter,5,153,0.11445730924606323
Painter,5,154,0.11543499678373337
Painter,5,155,0.11306421458721161
Painter,5,156,0.1120026707649231
Painter,5,157,0.11064059287309647
Painter,5,158,0.11064726114273071
Painter,5,159,0.10777248442173004
Painter,5,160,0.10849913954734802
Painter,5,161,0.10930253565311432
Painter,5,162,0.11026491224765778
Painter,5,163,0.10843595117330551
Painter,5,164,0.10852642357349396
Painter,5,165,0.10827640444040298
Painter,5,166,0.1097513884305954
Painter,5,167,0.10925447940826416
Painter,5,168,0.11121772974729538
Painter,5,169,0.11097295582294464
Painter,5,170,0.11274615675210953
Painter,5,171,0.11175903677940369
Painter,5,172,0.11402375251054764
Painter,5,173,0.11279231309890747
Painter,5,174,0.11403001099824905
Painter,5,175,0.11399513483047485
Painter,5,176,0.11322572827339172
Painter,5,177,0.1130053848028183
Painter,5,178,0.11461678892374039
Painter,5,179,0.11350952833890915
Painter,5,180,0.11489306390285492
Painter,5,181,0.11450057476758957
Painter,5,182,0.11677224934101105
Painter,5,183,0.11752362549304962
Painter,5,184,0.1191227063536644
Painter,5,185,0.12046609818935394
Painter,5,186,0.12204436212778091
Painter,5,187,0.12036119401454926
Painter,5,188,0.12218011915683746
Painter,5,189,0.12259083241224289
Painter,5,190,0.12215009331703186
Painter,5,191,0.1213257759809494
Painter,5,192,0.1229044646024704
Painter,5,193,0.12083135545253754
Painter,5,194,0.12217333912849426
Painter,5,195,0.1220698282122612
Painter,5,196,0.12368889153003693
Painter,5,197,0.12250664085149765
Painter,5,198,0.12301668524742126
Painter,5,199,0.12302247434854507
Painter,5,200,0.12451127171516418
Painter,5,201,0.12270499020814896
Painter,5,202,0.12315768748521805
Painter,5,203,0.12335751205682755
Painter,5,204,0.12484085559844971
Painter,5,205,0.1243557333946228
Painter,5,206,0.12326250970363617
Painter,5,207,0.12315293401479721
Painter,5,208,0.1252565085887909
Painter,5,209,0.12296260893344879
Painter,5,210,0.122825026512146
Painter,5,211,0.12379512190818787
Painter,5,212,0.12543891370296478
Painter,5,213,0.12368591129779816
Painter,5,214,0.1239667683839798
Painter,5,215,0.1236736997961998
Painter,5,216,0.12502774596214294
Painter,5,217,0.1228579580783844
Painter,5,218,0.12284672260284424
Painter,5,219,0.12307105958461761
Painter,5,220,0.12439980357885361
Painter,5,221,0.12282802909612656
Painter,5,222,0.12382172793149948
Painter,5,223,0.12296470999717712
Painter,5,224,0.12479573488235474
Painter,5,225,0.12355493009090424
Painter,5,226,0.12325745820999146
Painter,5,227,0.12141876667737961
Painter,5,228,0.12247245013713837
Painter,5,229,0.11803777515888214
Painter,5,230,0.11908753961324692
Painter,5,231,0.11758232861757278
Painter,5,232,0.11707451939582825
Painter,5,233,0.11230017989873886
Painter,5,234,0.11178551614284515
Painter,5,235,0.10892461985349655
Painter,5,236,0.10763987898826599
Painter,5,237,0.10686519742012024
Painter,5,238,0.10846934467554092
Painter,5,239,0.10770872980356216
Painter,5,240,0.10765643417835236
Painter,5,241,0.10633572190999985
Painter,5,242,0.1071457713842392
Painter,5,243,0.10554338246583939
Painter,5,244,0.10699321329593658
Painter,5,245,0.10506825149059296
Painter,5,246,0.10693278908729553
Painter,5,247,0.10692822188138962
Painter,5,248,0.10820181667804718
Painter,5,249,0.10962522029876709
Painter,5,250,0.12092834711074829
Painter,5,251,0.11939913034439087
Painter,5,252,0.12014704942703247
Painter,5,253,0.11760172992944717
Painter,5,254,0.11754024028778076
Painter,5,255,0.11710898578166962
Painter,5,256,0.11780014634132385
Painter,5,257,0.11568323522806168
Painter,5,258,0.11535035073757172
Painter,5,259,0.11584983766078949
Painter,5,260,0.11823590844869614
Painter,5,261,0.11730244010686874
Painter,5,262,0.1169334352016449
Painter,5,263,0.11718709766864777
Painter,5,264,0.11790265887975693
Painter,5,265,0.11591412127017975
Painter,5,266,0.11571511626243591
Painter,5,267,0.11493028700351715
Painter,5,268,0.11523948609828949
Painter,5,269,0.11374309659004211
Painter,5,270,0.11348369717597961
Painter,5,271,0.11330084502696991
Painter,5,272,0.11446260660886765
Painter,5,273,0.1115761399269104
Painter,5,274,0.11188942193984985
Painter,5,275,0.11210976541042328
Painter,5,276,0.11318229883909225
Painter,5,277,0.11232046037912369
Painter,5,278,0.11252463608980179
Painter,5,279,0.11247531324625015
Painter,5,280,0.1129274070262909
Painter,5,281,0.11057323217391968
Painter,5,282,0.11076422780752182
Painter,5,283,0.11092548072338104
Painter,5,284,0.11226318776607513
Painter,5,285,0.11096453666687012
Painter,5,286,0.11115972697734833
Painter,5,287,0.11126713454723358
Painter,5,288,0.112211212515831
Painter,5,289,0.11151619255542755
Painter,5,290,0.11161431670188904
Painter,5,291,0.11134565621614456
Painter,5,292,0.11189739406108856
Painter,5,293,0.11106081306934357
Painter,5,294,0.11137712001800537
Painter,5,295,0.11071500927209854
Painter,5,296,0.11122357100248337
Painter,5,297,0.11143632978200912
Painter,5,298,0.11205165088176727
Painter,5,299,0.11486366391181946
