scene_name,video_num,frame_num,LPIPS_Alex
Painter,5,0,0.03376064449548721
Painter,5,1,0.0329819992184639
Painter,5,2,0.03327368199825287
Painter,5,3,0.03307754546403885
Painter,5,4,0.033384647220373154
Painter,5,5,0.03291169926524162
Painter,5,6,0.033257804811000824
Painter,5,7,0.03245142102241516
Painter,5,8,0.032792650163173676
Painter,5,9,0.03285365179181099
Painter,5,10,0.03348998352885246
Painter,5,11,0.033076487481594086
Painter,5,12,0.033219072967767715
Painter,5,13,0.0341186486184597
Painter,5,14,0.035007916390895844
Painter,5,15,0.03543800860643387
Painter,5,16,0.036726247519254684
Painter,5,17,0.036546751856803894
Painter,5,18,0.03870394825935364
Painter,5,19,0.039036381989717484
Painter,5,20,0.040740739554166794
Painter,5,21,0.04219973087310791
Painter,5,22,0.0438714325428009
Painter,5,23,0.04286055639386177
Painter,5,24,0.042928460985422134
Painter,5,25,0.04397690296173096
Painter,5,26,0.046442754566669464
Painter,5,27,0.04632050544023514
Painter,5,28,0.04716417193412781
Painter,5,29,0.04650729149580002
Painter,5,30,0.049518391489982605
Painter,5,31,0.048927828669548035
Painter,5,32,0.050253815948963165
Painter,5,33,0.050234150141477585
Painter,5,34,0.05148908123373985
Painter,5,35,0.050827037543058395
Painter,5,36,0.04875067621469498
Painter,5,37,0.04820628836750984
Painter,5,38,0.04669254273176193
Painter,5,39,0.044305793941020966
Painter,5,40,0.04474647343158722
Painter,5,41,0.04784189909696579
Painter,5,42,0.04833676666021347
Painter,5,43,0.04863575100898743
Painter,5,44,0.04796237498521805
Painter,5,45,0.048219263553619385
Painter,5,46,0.047975167632102966
Painter,5,47,0.04913819581270218
Painter,5,48,0.051845915615558624
Painter,5,49,0.0521126389503479
Painter,5,50,0.052715227007865906
Painter,5,51,0.0526173934340477
Painter,5,52,0.05278775840997696
Painter,5,53,0.052305757999420166
Painter,5,54,0.053000565618276596
Painter,5,55,0.05234067514538765
Painter,5,56,0.050867244601249695
Painter,5,57,0.05294144153594971
Painter,5,58,0.053309518843889236
Painter,5,59,0.054495520889759064
Painter,5,60,0.05394912138581276
Painter,5,61,0.052990447729825974
Painter,5,62,0.0523628406226635
Painter,5,63,0.0528668612241745
Painter,5,64,0.05329712852835655
Painter,5,65,0.05412576347589493
Painter,5,66,0.05359121039509773
Painter,5,67,0.052144408226013184
Painter,5,68,0.05381573736667633
Painter,5,69,0.053715337067842484
Painter,5,70,0.05371968075633049
Painter,5,71,0.05536390095949173
Painter,5,72,0.0555926077067852
Painter,5,73,0.055760063230991364
Painter,5,74,0.05703393369913101
Painter,5,75,0.05619795247912407
Painter,5,76,0.05680745095014572
Painter,5,77,0.057911526411771774
Painter,5,78,0.057835765182971954
Painter,5,79,0.05861937999725342
Painter,5,80,0.059065259993076324
Painter,5,81,0.05868151783943176
Painter,5,82,0.06031319871544838
Painter,5,83,0.05751052126288414
Painter,5,84,0.05822128430008888
Painter,5,85,0.05836331471800804
Painter,5,86,0.0597524531185627
Painter,5,87,0.05897999927401543
Painter,5,88,0.05925944074988365
Painter,5,89,0.05729943886399269
Painter,5,90,0.05798735097050667
Painter,5,91,0.057068124413490295
Painter,5,92,0.05851620063185692
Painter,5,93,0.05641128122806549
Painter,5,94,0.05646400898694992
Painter,5,95,0.05528866499662399
Painter,5,96,0.05768965184688568
Painter,5,97,0.056050293147563934
Painter,5,98,0.05586765706539154
Painter,5,99,0.05481693148612976
Painter,5,100,0.05608844757080078
Painter,5,101,0.05537329614162445
Painter,5,102,0.05529015138745308
