scene_name,video_num,frame_num,SSIM
Remy,5,0,0.6275766016326059
Remy,5,1,0.6300353190662955
Remy,5,2,0.6294291343461631
Remy,5,3,0.629952695319413
Remy,5,4,0.628442008260948
Remy,5,5,0.6300228947704818
Remy,5,6,0.6291693262538843
Remy,5,7,0.6284204287259005
Remy,5,8,0.6263890304700656
Remy,5,9,0.6276424260292259
Remy,5,10,0.6263158777586643
Remy,5,11,0.6271487300054625
Remy,5,12,0.62567406128222
Remy,5,13,0.6275405527081919
Remy,5,14,0.6270663819197212
Remy,5,15,0.6280378600636439
Remy,5,16,0.6271920270993703
Remy,5,17,0.6307108629108692
Remy,5,18,0.629945824288987
Remy,5,19,0.6312461847600508
Remy,5,20,0.6299395067329533
Remy,5,21,0.6331904577554549
Remy,5,22,0.6324679564424606
Remy,5,23,0.6342549154763483
Remy,5,24,0.6331226253224992
Remy,5,25,0.6363505675612199
Remy,5,26,0.6351393439988148
Remy,5,27,0.6364006430969913
Remy,5,28,0.6344298878539161
Remy,5,29,0.6382755942983442
Remy,5,30,0.6376727914324003
Remy,5,31,0.6392761761958884
Remy,5,32,0.6375242302241618
Remy,5,33,0.6401608509263023
Remy,5,34,0.6387157895508607
Remy,5,35,0.6386998468585502
Remy,5,36,0.6362921274883104
Remy,5,37,0.6387722783415586
Remy,5,38,0.637915057376559
Remy,5,39,0.6390624581250365
Remy,5,40,0.6381833108144325
Remy,5,41,0.6403201309192601
Remy,5,42,0.6388159549807737
Remy,5,43,0.6394541648391019
Remy,5,44,0.6376901352582323
Remy,5,45,0.6409205744180596
Remy,5,46,0.6407413163721636
Remy,5,47,0.6411658609671652
Remy,5,48,0.6393552213577196
Remy,5,49,0.6419476623658772
Remy,5,50,0.6408767737522038
Remy,5,51,0.641494295234293
Remy,5,52,0.6397076583253677
Remy,5,53,0.6411050366363603
Remy,5,54,0.6400540263174935
Remy,5,55,0.6407395723812497
Remy,5,56,0.6398079405635143
Remy,5,57,0.6425232736003549
Remy,5,58,0.642289889001128
Remy,5,59,0.642540959596567
Remy,5,60,0.6408417164522444
Remy,5,61,0.6423678748717042
Remy,5,62,0.6418262358734261
Remy,5,63,0.6420665064020743
Remy,5,64,0.6408485834451562
Remy,5,65,0.6427749298875959
Remy,5,66,0.6421037141094199
Remy,5,67,0.6431195283216607
Remy,5,68,0.6416681891729581
Remy,5,69,0.644578831160697
Remy,5,70,0.6436668423897062
Remy,5,71,0.6444110252302732
Remy,5,72,0.6425463734438642
Remy,5,73,0.6445381550999121
Remy,5,74,0.6432849380012875
Remy,5,75,0.6434089081646422
Remy,5,76,0.6425591728756321
Remy,5,77,0.6448864766290879
Remy,5,78,0.6441932616270865
Remy,5,79,0.6448591125185372
Remy,5,80,0.6435848739303967
Remy,5,81,0.6454460086545153
Remy,5,82,0.6448715556430207
Remy,5,83,0.6450271784934363
Remy,5,84,0.643294033852735
Remy,5,85,0.6446519280085429
Remy,5,86,0.6441597838315385
Remy,5,87,0.6439463218649537
Remy,5,88,0.6414451996554731
Remy,5,89,0.6431707567431101
Remy,5,90,0.6421937490889141
Remy,5,91,0.64303826102207
Remy,5,92,0.6411366473748394
Remy,5,93,0.6438400007466271
Remy,5,94,0.6439560696473926
Remy,5,95,0.6443509902670579
Remy,5,96,0.6435687462952712
Remy,5,97,0.6458755138846664
Remy,5,98,0.6456652425619166
Remy,5,99,0.6466782326665448
Remy,5,100,0.6457585280633341
Remy,5,101,0.6474449755303231
Remy,5,102,0.647057010434865
Remy,5,103,0.6477137922306424
Remy,5,104,0.6470975464583801
Remy,5,105,0.649487893332163
Remy,5,106,0.6491429591624983
Remy,5,107,0.6494924687840627
Remy,5,108,0.6475657590192094
Remy,5,109,0.649618177002941
Remy,5,110,0.6489805723593348
Remy,5,111,0.649479929722201
Remy,5,112,0.6486965415821091
Remy,5,113,0.6517080065571025
Remy,5,114,0.6513031135901991
Remy,5,115,0.6535678376713687
Remy,5,116,0.6526685355470416
Remy,5,117,0.6556845506276185
Remy,5,118,0.6557853859656528
Remy,5,119,0.6564106345364076
Remy,5,120,0.6543393611575162
Remy,5,121,0.6565052890311878
Remy,5,122,0.6542703663917941
Remy,5,123,0.6540819152480132
Remy,5,124,0.6519410808895952
Remy,5,125,0.6545275470581734
Remy,5,126,0.653882199089542
Remy,5,127,0.654358968561872
Remy,5,128,0.6523702057497534
Remy,5,129,0.6558200949005807
Remy,5,130,0.6554774690141152
Remy,5,131,0.6562822150720541
Remy,5,132,0.6552534637292197
Remy,5,133,0.658743661732444
Remy,5,134,0.6576049372481663
Remy,5,135,0.6588463894716692
Remy,5,136,0.6571490920048366
Remy,5,137,0.65984483922548
Remy,5,138,0.6587197090802565
Remy,5,139,0.6585252943392562
Remy,5,140,0.656186363068654
Remy,5,141,0.6584962546501985
Remy,5,142,0.6575277872166084
Remy,5,143,0.6574842492822283
Remy,5,144,0.6558950554306568
Remy,5,145,0.6587661627985012
Remy,5,146,0.6576565480189187
Remy,5,147,0.6588060211837273
Remy,5,148,0.6569386402207463
Remy,5,149,0.6584966990688063
Remy,5,150,0.6570990898860184
Remy,5,151,0.657713580952157
Remy,5,152,0.6557266933806353
Remy,5,153,0.6583975214138481
Remy,5,154,0.6579060480024221
Remy,5,155,0.6580013017795596
Remy,5,156,0.6561944819374333
Remy,5,157,0.6583741645377219
Remy,5,158,0.6573493839407714
Remy,5,159,0.6575719214617837
Remy,5,160,0.6553010834158121
Remy,5,161,0.657288562689322
Remy,5,162,0.6567445617805858
Remy,5,163,0.6570349844618831
Remy,5,164,0.6551895593720136
Remy,5,165,0.6570169648338012
Remy,5,166,0.6551313352177018
Remy,5,167,0.6551837257484355
Remy,5,168,0.6528742602166354
Remy,5,169,0.6545836160004113
Remy,5,170,0.6528754695784971
Remy,5,171,0.6526404789680796
Remy,5,172,0.6505160543204503
Remy,5,173,0.6523375235946003
Remy,5,174,0.6512766164542915
Remy,5,175,0.6512054734231579
Remy,5,176,0.6493972510637083
Remy,5,177,0.6507296514051556
Remy,5,178,0.6495621170809425
Remy,5,179,0.6495509638690921
Remy,5,180,0.6478434821768603
Remy,5,181,0.649540087894924
