scene_name,video_num,frame_num,MSE
Train,5,0,0.0015010876
Train,5,1,0.0014792482
Train,5,2,0.0014824256
Train,5,3,0.0014905899
Train,5,4,0.0015153546
Train,5,5,0.0015265321
Train,5,6,0.001560058
Train,5,7,0.0015424003
Train,5,8,0.0015763482
Train,5,9,0.0015725143
Train,5,10,0.001589511
Train,5,11,0.0015657836
Train,5,12,0.0016307414
Train,5,13,0.0015665807
Train,5,14,0.0015997892
Train,5,15,0.001557975
Train,5,16,0.001616055
Train,5,17,0.0015876802
Train,5,18,0.0015964966
Train,5,19,0.0015944496
Train,5,20,0.0016264474
Train,5,21,0.0016099485
Train,5,22,0.0016440952
Train,5,23,0.0016281444
Train,5,24,0.001647635
Train,5,25,0.0016095294
Train,5,26,0.001602175
Train,5,27,0.0015903885
Train,5,28,0.0016372766
Train,5,29,0.0016014565
Train,5,30,0.0016216614
Train,5,31,0.0015947769
Train,5,32,0.0016142429
Train,5,33,0.0016070217
Train,5,34,0.0016251755
Train,5,35,0.001604489
Train,5,36,0.0016218269
Train,5,37,0.0016191767
Train,5,38,0.0016449856
Train,5,39,0.0016329817
Train,5,40,0.0016538083
Train,5,41,0.0016443811
Train,5,42,0.0016573514
Train,5,43,0.0016477297
Train,5,44,0.0016793888
Train,5,45,0.0016546164
Train,5,46,0.0016522614
Train,5,47,0.0016630642
Train,5,48,0.0016783521
Train,5,49,0.0016578096
Train,5,50,0.0016556077
Train,5,51,0.0016491226
Train,5,52,0.0016530837
Train,5,53,0.0016409071
Train,5,54,0.0016441029
Train,5,55,0.0016413304
Train,5,56,0.0016632563
Train,5,57,0.0016525203
Train,5,58,0.0016583599
Train,5,59,0.0016715085
Train,5,60,0.0016837172
Train,5,61,0.0016673025
Train,5,62,0.0016684458
Train,5,63,0.0016722645
Train,5,64,0.0016853273
Train,5,65,0.0016737926
Train,5,66,0.0016676125
Train,5,67,0.0016774851
Train,5,68,0.0016846254
Train,5,69,0.0016762597
Train,5,70,0.001674648
Train,5,71,0.0016877227
Train,5,72,0.0016900095
Train,5,73,0.0016913029
Train,5,74,0.0016936988
Train,5,75,0.0017006581
Train,5,76,0.0017121587
Train,5,77,0.0017037923
Train,5,78,0.001695023
Train,5,79,0.0017127683
Train,5,80,0.0017180506
Train,5,81,0.0017164631
Train,5,82,0.0017147444
Train,5,83,0.0017225237
Train,5,84,0.0017339862
Train,5,85,0.0017248493
Train,5,86,0.0017142672
Train,5,87,0.0017301933
Train,5,88,0.0017292943
Train,5,89,0.0017371873
Train,5,90,0.0017302802
Train,5,91,0.0017333992
Train,5,92,0.0017403972
Train,5,93,0.0017371626
Train,5,94,0.0017330816
Train,5,95,0.0017281105
Train,5,96,0.0017382602
Train,5,97,0.0017367648
Train,5,98,0.0017332721
Train,5,99,0.0017380983
Train,5,100,0.0017454976
Train,5,101,0.0017278456
Train,5,102,0.0017370611
Train,5,103,0.0017350009
Train,5,104,0.0017250135
Train,5,105,0.0017189973
Train,5,106,0.0017194364
Train,5,107,0.0017134228
Train,5,108,0.0017120608
Train,5,109,0.0017052649
Train,5,110,0.0016950482
Train,5,111,0.0016982205
Train,5,112,0.001677392
Train,5,113,0.0016834055
Train,5,114,0.0016768478
Train,5,115,0.0016813567
Train,5,116,0.001675964
Train,5,117,0.0016753976
Train,5,118,0.0016778117
Train,5,119,0.0016749146
Train,5,120,0.0016800393
Train,5,121,0.001684154
Train,5,122,0.0016878882
Train,5,123,0.0016843613
Train,5,124,0.0016764707
Train,5,125,0.0016732857
Train,5,126,0.0016792165
Train,5,127,0.0016772924
Train,5,128,0.0016579262
Train,5,129,0.0016603279
Train,5,130,0.0016624181
Train,5,131,0.001659368
Train,5,132,0.0016659934
Train,5,133,0.0016578366
Train,5,134,0.0016523221
Train,5,135,0.0016528714
Train,5,136,0.0016483505
Train,5,137,0.001648082
Train,5,138,0.0016455972
Train,5,139,0.0016448979
Train,5,140,0.0016487648
Train,5,141,0.001640586
Train,5,142,0.0016456423
Train,5,143,0.0016371506
Train,5,144,0.0016467384
Train,5,145,0.0016316416
Train,5,146,0.0016319349
Train,5,147,0.0016203728
Train,5,148,0.0016268244
Train,5,149,0.0016178259
Train,5,150,0.00163104
Train,5,151,0.0016223931
Train,5,152,0.001628958
Train,5,153,0.001625904
Train,5,154,0.0016304969
Train,5,155,0.0016232214
Train,5,156,0.0016376267
Train,5,157,0.0016362924
Train,5,158,0.0016430514
Train,5,159,0.0016368415
Train,5,160,0.0016377993
Train,5,161,0.0016340079
Train,5,162,0.0016336791
Train,5,163,0.0016363405
Train,5,164,0.0016340815
Train,5,165,0.0016246203
Train,5,166,0.0016242472
Train,5,167,0.0016142257
Train,5,168,0.0016109215
Train,5,169,0.0016112712
Train,5,170,0.0016157589
Train,5,171,0.0016033264
Train,5,172,0.0016140909
Train,5,173,0.0016027645
Train,5,174,0.0016099294
Train,5,175,0.0016064999
Train,5,176,0.0015986876
Train,5,177,0.0015942954
Train,5,178,0.001602824
Train,5,179,0.0015943879
Train,5,180,0.0015954609
Train,5,181,0.0015946542
Train,5,182,0.0015973432
Train,5,183,0.0015845719
Train,5,184,0.0015853539
Train,5,185,0.001586174
Train,5,186,0.0015969536
Train,5,187,0.0015927468
Train,5,188,0.0015980605
Train,5,189,0.0015935182
Train,5,190,0.0016059761
Train,5,191,0.0015965138
Train,5,192,0.001606637
Train,5,193,0.0015984734
Train,5,194,0.0016053513
Train,5,195,0.0015987925
Train,5,196,0.0016046105
Train,5,197,0.0016011344
Train,5,198,0.0016047244
Train,5,199,0.001592824
Train,5,200,0.0015871129
Train,5,201,0.0015873363
Train,5,202,0.0015939012
Train,5,203,0.0015885826
Train,5,204,0.0016010993
Train,5,205,0.0015885938
Train,5,206,0.0015938481
Train,5,207,0.0015862986
Train,5,208,0.0015918349
Train,5,209,0.0015881249
Train,5,210,0.0015918091
Train,5,211,0.0015874841
Train,5,212,0.0015958829
Train,5,213,0.0015859846
Train,5,214,0.0015848038
Train,5,215,0.0015816535
Train,5,216,0.0015882688
Train,5,217,0.0015707647
Train,5,218,0.0015744051
Train,5,219,0.0015708198
Train,5,220,0.0015772461
Train,5,221,0.0015656583
Train,5,222,0.0015641522
Train,5,223,0.0015522586
Train,5,224,0.0015475479
Train,5,225,0.0015358187
Train,5,226,0.0015362588
Train,5,227,0.0015319218
Train,5,228,0.0015399365
Train,5,229,0.0015376593
Train,5,230,0.0015392858
Train,5,231,0.0015401202
Train,5,232,0.0015510458
Train,5,233,0.0015406945
Train,5,234,0.0015432443
Train,5,235,0.0015425665
Train,5,236,0.0015489471
Train,5,237,0.0015448785
Train,5,238,0.0015522023
Train,5,239,0.001555418
Train,5,240,0.0015593373
Train,5,241,0.0015563401
Train,5,242,0.0015635778
Train,5,243,0.0015618635
Train,5,244,0.0015704272
Train,5,245,0.0015581787
Train,5,246,0.0015614134
Train,5,247,0.0015625006
Train,5,248,0.0015663839
Train,5,249,0.0015614252
Train,5,250,0.0015872389
Train,5,251,0.001583578
Train,5,252,0.0015806365
Train,5,253,0.0015729616
Train,5,254,0.0015802734
Train,5,255,0.0015692373
Train,5,256,0.0015730321
Train,5,257,0.0015591696
Train,5,258,0.0015554352
Train,5,259,0.0015567079
Train,5,260,0.0015610607
Train,5,261,0.0015589078
Train,5,262,0.001558589
Train,5,263,0.001558474
Train,5,264,0.0015630343
Train,5,265,0.0015663417
Train,5,266,0.001568706
Train,5,267,0.0015670793
Train,5,268,0.0015727112
Train,5,269,0.001573238
Train,5,270,0.0015853728
Train,5,271,0.0015784666
Train,5,272,0.0015797145
Train,5,273,0.0015793226
Train,5,274,0.0015867832
Train,5,275,0.0015854221
Train,5,276,0.0015899544
Train,5,277,0.0015809339
Train,5,278,0.0015864003
Train,5,279,0.0015818856
Train,5,280,0.0015915852
Train,5,281,0.0015880511
Train,5,282,0.0015968154
Train,5,283,0.0015811798
Train,5,284,0.0015914084
Train,5,285,0.0015770362
Train,5,286,0.0015865972
Train,5,287,0.0015776062
Train,5,288,0.0015752602
Train,5,289,0.0015710684
Train,5,290,0.001578117
Train,5,291,0.0015673402
Train,5,292,0.0015798949
Train,5,293,0.0015821579
Train,5,294,0.0015874603
Train,5,295,0.0015955374
Train,5,296,0.0015941742
Train,5,297,0.0015908205
Train,5,298,0.001595143
Train,5,299,0.0015956147
