scene_name,video_num,RMSE
coffee_martini,0,0.0674
cook_spinach,0,0.0515
cut_roasted_beef,0,0.0384
flame_salmon_1,0,0.072
flame_steak,0,0.0442
sear_steak,0,0.0413
