scene_name,video_num,LPIPS_VGG
coffee_martini,0,0.3207
cook_spinach,0,0.3199
cut_roasted_beef,0,0.2577
flame_salmon_1,0,0.3313
flame_steak,0,0.2811
sear_steak,0,0.2669
