scene_name,video_num,LPIPS_Alex
coffee_martini,0,0.2089
cook_spinach,0,0.2101
cut_roasted_beef,0,0.1364
flame_salmon_1,0,0.2329
flame_steak,0,0.1722
sear_steak,0,0.1621
