scene_name,pred_video_num,DepthRMSE01
coffee_martini,0,0.2983
cook_spinach,0,0.3492
cut_roasted_beef,0,0.2621
flame_salmon_1,0,0.3302
flame_steak,0,0.3501
sear_steak,0,0.2897
