scene_name,pred_video_num,DepthMAE01
coffee_martini,0,0.1536
cook_spinach,0,0.2093
cut_roasted_beef,0,0.1523
flame_salmon_1,0,0.1524
flame_steak,0,0.2077
sear_steak,0,0.1685
