scene_name,pred_video_num,DepthSROCC01
coffee_martini,0,0.5129
cook_spinach,0,0.1702
cut_roasted_beef,0,0.6272
flame_salmon_1,0,0.5033
flame_steak,0,0.392
sear_steak,0,0.4232
