scene_name,pred_video_num,pred_frame_num,DepthSROCC01
coffee_martini,0,0,-0.1854
coffee_martini,0,1,-0.1854
coffee_martini,0,2,-0.1859
coffee_martini,0,3,-0.1865
coffee_martini,0,4,-0.1868
coffee_martini,0,5,-0.1879
coffee_martini,0,6,-0.1883
coffee_martini,0,7,-0.1895
coffee_martini,0,8,-0.1903
coffee_martini,0,9,-0.1906
coffee_martini,0,10,-0.1907
coffee_martini,0,11,-0.1911
coffee_martini,0,12,-0.1914
coffee_martini,0,13,-0.1915
coffee_martini,0,14,-0.1911
coffee_martini,0,15,-0.1914
coffee_martini,0,16,-0.1918
coffee_martini,0,17,-0.192
coffee_martini,0,18,-0.1922
coffee_martini,0,19,-0.1924
coffee_martini,0,20,-0.1921
coffee_martini,0,21,-0.1923
coffee_martini,0,22,-0.1924
coffee_martini,0,23,-0.1923
coffee_martini,0,24,-0.1916
coffee_martini,0,25,-0.1922
coffee_martini,0,26,-0.192
coffee_martini,0,27,-0.1922
coffee_martini,0,28,-0.1914
coffee_martini,0,29,-0.1915
coffee_martini,0,30,-0.1915
coffee_martini,0,31,-0.1921
coffee_martini,0,32,-0.1919
coffee_martini,0,33,-0.1919
coffee_martini,0,34,-0.1918
coffee_martini,0,35,-0.1921
coffee_martini,0,36,-0.1922
coffee_martini,0,37,-0.1922
coffee_martini,0,38,-0.1921
coffee_martini,0,39,-0.1921
coffee_martini,0,40,-0.1918
coffee_martini,0,41,-0.1919
coffee_martini,0,42,-0.192
coffee_martini,0,43,-0.1922
coffee_martini,0,44,-0.1917
coffee_martini,0,45,-0.1921
coffee_martini,0,46,-0.1919
coffee_martini,0,47,-0.192
coffee_martini,0,48,-0.1914
coffee_martini,0,49,-0.1912
coffee_martini,0,50,-0.191
coffee_martini,0,51,-0.1911
coffee_martini,0,52,-0.1907
coffee_martini,0,53,-0.191
coffee_martini,0,54,-0.1908
coffee_martini,0,55,-0.1908
coffee_martini,0,56,-0.1907
coffee_martini,0,57,-0.1908
coffee_martini,0,58,-0.1909
coffee_martini,0,59,-0.1909
coffee_martini,0,60,-0.1912
coffee_martini,0,61,-0.1912
coffee_martini,0,62,-0.1909
coffee_martini,0,63,-0.191
coffee_martini,0,64,-0.1909
coffee_martini,0,65,-0.1908
coffee_martini,0,66,-0.1908
coffee_martini,0,67,-0.1907
coffee_martini,0,68,-0.1906
coffee_martini,0,69,-0.1904
coffee_martini,0,70,-0.1907
coffee_martini,0,71,-0.1907
coffee_martini,0,72,-0.1907
coffee_martini,0,73,-0.1907
coffee_martini,0,74,-0.1906
coffee_martini,0,75,-0.1903
coffee_martini,0,76,-0.1901
coffee_martini,0,77,-0.1901
coffee_martini,0,78,-0.19
coffee_martini,0,79,-0.1901
coffee_martini,0,80,-0.1902
coffee_martini,0,81,-0.1904
coffee_martini,0,82,-0.1905
coffee_martini,0,83,-0.1905
coffee_martini,0,84,-0.1902
coffee_martini,0,85,-0.1903
coffee_martini,0,86,-0.1904
coffee_martini,0,87,-0.1906
coffee_martini,0,88,-0.1906
coffee_martini,0,89,-0.1909
coffee_martini,0,90,-0.1908
coffee_martini,0,91,-0.1907
coffee_martini,0,92,-0.1905
coffee_martini,0,93,-0.1904
coffee_martini,0,94,-0.1904
coffee_martini,0,95,-0.1905
coffee_martini,0,96,-0.1907
coffee_martini,0,97,-0.1908
coffee_martini,0,98,-0.1905
coffee_martini,0,99,-0.1905
coffee_martini,0,100,-0.1907
coffee_martini,0,101,-0.1909
coffee_martini,0,102,-0.1905
coffee_martini,0,103,-0.1907
coffee_martini,0,104,-0.1905
coffee_martini,0,105,-0.1912
coffee_martini,0,106,-0.1906
coffee_martini,0,107,-0.1911
coffee_martini,0,108,-0.1913
coffee_martini,0,109,-0.1904
coffee_martini,0,110,-0.1895
coffee_martini,0,111,-0.1894
coffee_martini,0,112,-0.1891
coffee_martini,0,113,-0.1891
coffee_martini,0,114,-0.1895
coffee_martini,0,115,-0.1904
coffee_martini,0,116,-0.19
coffee_martini,0,117,-0.1897
coffee_martini,0,118,-0.1894
coffee_martini,0,119,-0.1894
coffee_martini,0,120,-0.1895
coffee_martini,0,121,-0.1896
coffee_martini,0,122,-0.1889
coffee_martini,0,123,-0.1891
coffee_martini,0,124,-0.1888
coffee_martini,0,125,-0.1893
coffee_martini,0,126,-0.1896
coffee_martini,0,127,-0.1899
coffee_martini,0,128,-0.1898
coffee_martini,0,129,-0.19
coffee_martini,0,130,-0.1901
coffee_martini,0,131,-0.1898
coffee_martini,0,132,-0.1895
coffee_martini,0,133,-0.1899
coffee_martini,0,134,-0.1897
coffee_martini,0,135,-0.1897
coffee_martini,0,136,-0.1892
coffee_martini,0,137,-0.1889
coffee_martini,0,138,-0.1882
coffee_martini,0,139,-0.1883
coffee_martini,0,140,-0.1881
coffee_martini,0,141,-0.1884
coffee_martini,0,142,-0.1889
coffee_martini,0,143,-0.1893
coffee_martini,0,144,-0.1895
coffee_martini,0,145,-0.1894
coffee_martini,0,146,-0.1893
