scene_name,video_num,SSIM
coffee_martini,0,0.6678
cook_spinach,0,0.8025
cut_roasted_beef,0,0.8569
flame_salmon_1,0,0.5681
flame_steak,0,0.8337
sear_steak,0,0.8366
