scene_name,pred_video_num,DepthMAE01
coffee_martini,0,0.5743
cook_spinach,0,0.3404
cut_roasted_beef,0,0.1971
flame_salmon_1,0,0.7844
flame_steak,0,0.3119
sear_steak,0,0.2759
