scene_name,video_num,RMSE
coffee_martini,0,0.1365
cook_spinach,0,0.0819
cut_roasted_beef,0,0.062
flame_salmon_1,0,0.2072
flame_steak,0,0.0732
sear_steak,0,0.0749
