scene_name,pred_video_num,DepthSROCC01
coffee_martini,0,-0.1898
cook_spinach,0,-0.1219
cut_roasted_beef,0,0.371
flame_salmon_1,0,-0.4347
flame_steak,0,0.1001
sear_steak,0,0.1097
