scene_name,pred_video_num,DepthRMSE01
coffee_martini,0,0.6915
cook_spinach,0,0.4348
cut_roasted_beef,0,0.2758
flame_salmon_1,0,0.8878
flame_steak,0,0.4069
sear_steak,0,0.3484
