video_num,depth_scale
0,0.0097562976911956
1,0.0097465094398049
2,0.0096717769024418
3,0.0096879108279359
1,0.0097465094398049
2,0.0096717769024418
3,0.0096879108279359
1,0.0097465094398049
2,0.0096717769024418
3,0.0096879108279359
4,0.0097641271703383
5,0.0097141621159572
6,0.0098990851757573
7,0.0097369764365401
8,0.0098673184712727
9,0.0101118686152439
10,0.0093462457843855
11,0.0094002985486797
12,0.0092700041976629
13,0.0093249900668275
14,0.009381571003035
15,0.0094148523667279
16,0.0093298631555893
17,0.0092293814116833
18,0.0094623201033648
19,0.009554983587826
