scene_name,video_num,frame_num,RMSE
Theater,5,0,0.13104579
Theater,5,1,0.13078317
Theater,5,2,0.13063869
Theater,5,3,0.13062328
Theater,5,4,0.13066919
Theater,5,5,0.13065714
Theater,5,6,0.13067226
Theater,5,7,0.13066621
Theater,5,8,0.13071747
Theater,5,9,0.13069348
Theater,5,10,0.13070355
Theater,5,11,0.13062012
Theater,5,12,0.13055202
Theater,5,13,0.13049898
Theater,5,14,0.13054322
Theater,5,15,0.13029502
Theater,5,16,0.13034509
Theater,5,17,0.13045794
Theater,5,18,0.13067272
Theater,5,19,0.13076417
Theater,5,20,0.13070586
Theater,5,21,0.13068503
Theater,5,22,0.13060091
Theater,5,23,0.13048118
Theater,5,24,0.13037233
Theater,5,25,0.1302477
Theater,5,26,0.13017811
Theater,5,27,0.13038526
Theater,5,28,0.1303601
Theater,5,29,0.13043639
Theater,5,30,0.13056688
Theater,5,31,0.13062441
Theater,5,32,0.13049693
Theater,5,33,0.1303485
Theater,5,34,0.1304131
Theater,5,35,0.13039696
Theater,5,36,0.13032311
Theater,5,37,0.1302989
Theater,5,38,0.1303225
Theater,5,39,0.13042127
Theater,5,40,0.1306693
Theater,5,41,0.13074999
Theater,5,42,0.13055848
Theater,5,43,0.13042682
Theater,5,44,0.1305335
Theater,5,45,0.13049039
Theater,5,46,0.13059533
Theater,5,47,0.13054228
Theater,5,48,0.13047877
Theater,5,49,0.13050531
Theater,5,50,0.13072017
Theater,5,51,0.13094029
Theater,5,52,0.13093427
Theater,5,53,0.13082114
Theater,5,54,0.13092907
Theater,5,55,0.13145594
Theater,5,56,0.12974703
Theater,5,57,0.13011372
Theater,5,58,0.12989266
Theater,5,59,0.13006872
Theater,5,60,0.13044892
Theater,5,61,0.13018933
Theater,5,62,0.13001904
Theater,5,63,0.1299967
Theater,5,64,0.12999775
Theater,5,65,0.12998451
Theater,5,66,0.13006675
Theater,5,67,0.13019085
Theater,5,68,0.1304028
Theater,5,69,0.13068165
Theater,5,70,0.13097392
Theater,5,71,0.13087621
Theater,5,72,0.13076438
Theater,5,73,0.1308558
Theater,5,74,0.13084576
Theater,5,75,0.12998918
Theater,5,76,0.12992673
Theater,5,77,0.130386
Theater,5,78,0.12994088
Theater,5,79,0.13217829
Theater,5,80,0.13150418
Theater,5,81,0.13099931
Theater,5,82,0.13107637
Theater,5,83,0.13103831
Theater,5,84,0.13100955
Theater,5,85,0.13091703
Theater,5,86,0.13093379
Theater,5,87,0.1309922
Theater,5,88,0.13092306
Theater,5,89,0.1318924
Theater,5,90,0.13038884
Theater,5,91,0.12979637
Theater,5,92,0.13019791
Theater,5,93,0.13000265
Theater,5,94,0.12986922
Theater,5,95,0.13016535
Theater,5,96,0.13020523
Theater,5,97,0.13025951
Theater,5,98,0.13028926
Theater,5,99,0.13034074
Theater,5,100,0.13050304
Theater,5,101,0.1307508
Theater,5,102,0.13111885
Theater,5,103,0.1303782
Theater,5,104,0.13142028
Theater,5,105,0.13039161
Theater,5,106,0.13077456
Theater,5,107,0.13218097
Theater,5,108,0.13106087
Theater,5,109,0.13136521
Theater,5,110,0.13128412
Theater,5,111,0.13169847
Theater,5,112,0.13360819
Theater,5,113,0.13313086
Theater,5,114,0.13206226
Theater,5,115,0.13156658
Theater,5,116,0.13269265
Theater,5,117,0.13252656
Theater,5,118,0.13182892
Theater,5,119,0.13185334
Theater,5,120,0.13236688
Theater,5,121,0.13212338
Theater,5,122,0.1336415
Theater,5,123,0.1344019
Theater,5,124,0.13358656
Theater,5,125,0.1334355
Theater,5,126,0.13329096
Theater,5,127,0.13307737
Theater,5,128,0.13310084
Theater,5,129,0.13263099
Theater,5,130,0.13261318
Theater,5,131,0.13190661
Theater,5,132,0.13454258
Theater,5,133,0.1338784
Theater,5,134,0.1331145
Theater,5,135,0.13563763
Theater,5,136,0.13501008
Theater,5,137,0.13348894
Theater,5,138,0.13281935
Theater,5,139,0.13283233
Theater,5,140,0.13295518
Theater,5,141,0.13176595
Theater,5,142,0.13362785
Theater,5,143,0.13165826
Theater,5,144,0.1315574
Theater,5,145,0.13150766
Theater,5,146,0.13200325
Theater,5,147,0.13174348
Theater,5,148,0.13150631
Theater,5,149,0.13166001
Theater,5,150,0.13163657
Theater,5,151,0.13158832
Theater,5,152,0.13131532
Theater,5,153,0.13103482
Theater,5,154,0.13074735
Theater,5,155,0.13048124
Theater,5,156,0.13032258
Theater,5,157,0.13023105
Theater,5,158,0.13078006
Theater,5,159,0.13030863
Theater,5,160,0.12931623
Theater,5,161,0.12856622
Theater,5,162,0.1285399
Theater,5,163,0.12757738
Theater,5,164,0.12754533
Theater,5,165,0.12770244
Theater,5,166,0.12796319
Theater,5,167,0.12971647
Theater,5,168,0.1305391
Theater,5,169,0.13100602
Theater,5,170,0.1306824
Theater,5,171,0.13021682
Theater,5,172,0.1305892
Theater,5,173,0.13033949
Theater,5,174,0.13008995
Theater,5,175,0.12958719
Theater,5,176,0.12964213
Theater,5,177,0.1299434
Theater,5,178,0.13062513
Theater,5,179,0.1313589
Theater,5,180,0.13157457
Theater,5,181,0.13127238
Theater,5,182,0.13119802
Theater,5,183,0.13056296
Theater,5,184,0.13041623
Theater,5,185,0.13166396
Theater,5,186,0.12947738
Theater,5,187,0.12951641
Theater,5,188,0.13200966
Theater,5,189,0.13350433
Theater,5,190,0.13326228
Theater,5,191,0.13154721
Theater,5,192,0.13024998
Theater,5,193,0.13066368
Theater,5,194,0.13059773
Theater,5,195,0.1308614
Theater,5,196,0.13116093
Theater,5,197,0.1321911
Theater,5,198,0.13228056
Theater,5,199,0.12976006
Theater,5,200,0.1300726
Theater,5,201,0.12979124
Theater,5,202,0.12996173
Theater,5,203,0.13001832
Theater,5,204,0.1305497
Theater,5,205,0.1300299
Theater,5,206,0.13218373
Theater,5,207,0.12972383
Theater,5,208,0.13088733
Theater,5,209,0.12931225
Theater,5,210,0.13116601
Theater,5,211,0.13033971
Theater,5,212,0.12955862
Theater,5,213,0.1299421
Theater,5,214,0.1319921
Theater,5,215,0.13108268
Theater,5,216,0.13139996
Theater,5,217,0.12941733
Theater,5,218,0.13008335
Theater,5,219,0.13136412
Theater,5,220,0.13012457
Theater,5,221,0.13028497
Theater,5,222,0.13021071
Theater,5,223,0.12984595
Theater,5,224,0.13115284
Theater,5,225,0.13089155
Theater,5,226,0.13041599
Theater,5,227,0.1295803
Theater,5,228,0.12967397
Theater,5,229,0.12941574
Theater,5,230,0.1298835
Theater,5,231,0.13009483
Theater,5,232,0.13004543
Theater,5,233,0.12964469
Theater,5,234,0.12981726
Theater,5,235,0.12950742
Theater,5,236,0.12949325
Theater,5,237,0.12969373
Theater,5,238,0.13094725
Theater,5,239,0.12907617
Theater,5,240,0.12969652
Theater,5,241,0.13021109
Theater,5,242,0.13035315
Theater,5,243,0.12926674
Theater,5,244,0.12976263
Theater,5,245,0.12867317
Theater,5,246,0.12862079
Theater,5,247,0.12865777
Theater,5,248,0.1311893
Theater,5,249,0.12997681
Theater,5,250,0.13077702
Theater,5,251,0.12986374
Theater,5,252,0.12999928
Theater,5,253,0.12993662
Theater,5,254,0.1301779
Theater,5,255,0.12993796
Theater,5,256,0.12981382
Theater,5,257,0.12942381
Theater,5,258,0.12936725
Theater,5,259,0.12941375
Theater,5,260,0.12935425
Theater,5,261,0.12936196
Theater,5,262,0.12972683
Theater,5,263,0.12960413
Theater,5,264,0.12968995
Theater,5,265,0.12957673
Theater,5,266,0.12924054
Theater,5,267,0.12896562
Theater,5,268,0.12874937
Theater,5,269,0.1288094
Theater,5,270,0.12896411
Theater,5,271,0.12919107
Theater,5,272,0.12942685
Theater,5,273,0.12936807
Theater,5,274,0.12946233
Theater,5,275,0.12904084
Theater,5,276,0.12896125
Theater,5,277,0.12910931
Theater,5,278,0.12903363
Theater,5,279,0.12900056
Theater,5,280,0.1291147
Theater,5,281,0.1295511
Theater,5,282,0.1296345
Theater,5,283,0.129487
Theater,5,284,0.12919301
Theater,5,285,0.1291287
Theater,5,286,0.12908146
Theater,5,287,0.1291279
Theater,5,288,0.12920135
Theater,5,289,0.1292555
Theater,5,290,0.1304031
Theater,5,291,0.13281782
Theater,5,292,0.13121454
Theater,5,293,0.13067473
Theater,5,294,0.13147902
Theater,5,295,0.13071983
Theater,5,296,0.13014613
Theater,5,297,0.12996012
Theater,5,298,0.12990627
Theater,5,299,0.13026115
