scene_name,video_num,frame_num,MSE
Birthday,5,0,0.003317387
Birthday,5,1,0.0033011795
Birthday,5,2,0.0033162201
Birthday,5,3,0.0032829354
Birthday,5,4,0.0033063418
Birthday,5,5,0.0032790736
Birthday,5,6,0.0032873643
Birthday,5,7,0.003264452
Birthday,5,8,0.003281253
Birthday,5,9,0.0032534795
Birthday,5,10,0.0032601182
Birthday,5,11,0.0032389814
Birthday,5,12,0.003273548
Birthday,5,13,0.0032540823
Birthday,5,14,0.0032650968
Birthday,5,15,0.0032433718
Birthday,5,16,0.0032703013
Birthday,5,17,0.0032425225
Birthday,5,18,0.0032581626
Birthday,5,19,0.0032384603
Birthday,5,20,0.0032626844
Birthday,5,21,0.0032290404
Birthday,5,22,0.0032552332
Birthday,5,23,0.0032469577
Birthday,5,24,0.0032767714
Birthday,5,25,0.0032661045
Birthday,5,26,0.003276517
Birthday,5,27,0.0032653175
Birthday,5,28,0.0032859307
Birthday,5,29,0.0032550353
Birthday,5,30,0.0032575333
Birthday,5,31,0.0032321792
Birthday,5,32,0.0032376128
Birthday,5,33,0.003241726
Birthday,5,34,0.0032595366
Birthday,5,35,0.003275349
Birthday,5,36,0.0033017753
Birthday,5,37,0.0032994298
Birthday,5,38,0.0032928365
Birthday,5,39,0.003280832
Birthday,5,40,0.0032693318
Birthday,5,41,0.003260976
Birthday,5,42,0.003247193
Birthday,5,43,0.0032568169
Birthday,5,44,0.0032613664
Birthday,5,45,0.0032501759
Birthday,5,46,0.0032418028
Birthday,5,47,0.0032447213
Birthday,5,48,0.0032465481
Birthday,5,49,0.0032263878
Birthday,5,50,0.0031974262
Birthday,5,51,0.003195222
Birthday,5,52,0.0031903556
Birthday,5,53,0.0031789974
Birthday,5,54,0.0031620737
Birthday,5,55,0.0031512934
Birthday,5,56,0.0031423657
Birthday,5,57,0.0031258909
Birthday,5,58,0.0031203802
Birthday,5,59,0.0031258725
Birthday,5,60,0.0031348336
Birthday,5,61,0.0031386442
Birthday,5,62,0.0031573165
Birthday,5,63,0.0031454
Birthday,5,64,0.0031435064
Birthday,5,65,0.0031347147
Birthday,5,66,0.0031021577
Birthday,5,67,0.0030787666
Birthday,5,68,0.0030463934
Birthday,5,69,0.0030109019
Birthday,5,70,0.0030006121
Birthday,5,71,0.0030112448
Birthday,5,72,0.0029866411
Birthday,5,73,0.0029866777
Birthday,5,74,0.002948492
Birthday,5,75,0.0029333765
Birthday,5,76,0.002912934
Birthday,5,77,0.0028788187
Birthday,5,78,0.0028706414
Birthday,5,79,0.0028545824
Birthday,5,80,0.0028394922
Birthday,5,81,0.0028166354
Birthday,5,82,0.00281859
Birthday,5,83,0.0027917372
Birthday,5,84,0.0028051278
Birthday,5,85,0.0027865954
Birthday,5,86,0.0027927526
Birthday,5,87,0.0027990248
Birthday,5,88,0.0028083322
Birthday,5,89,0.0028481411
Birthday,5,90,0.0028425662
Birthday,5,91,0.0028467767
Birthday,5,92,0.0028400824
Birthday,5,93,0.0028207626
Birthday,5,94,0.0028236872
Birthday,5,95,0.0028038407
Birthday,5,96,0.0028389902
Birthday,5,97,0.0028598
Birthday,5,98,0.0028506552
Birthday,5,99,0.0028429327
Birthday,5,100,0.0028561573
Birthday,5,101,0.0028705858
Birthday,5,102,0.0029333704
Birthday,5,103,0.0029004456
Birthday,5,104,0.002913151
Birthday,5,105,0.0029129784
Birthday,5,106,0.0028846208
Birthday,5,107,0.0028846317
Birthday,5,108,0.002837982
