video_num,depth_scale
0,0.0115532351475135
1,0.0120891898286108
2,0.0118059569714116
3,0.0115400080587349
4,0.0115379829032748
5,0.011550469491996
6,0.0117264037038765
7,0.0118384576311298
8,0.0121024225272384
9,0.0125736554463704
1,0.0120891898286108
2,0.0118059569714116
3,0.0115400080587349
1,0.0120891898286108
2,0.0118059569714116
3,0.0115400080587349
4,0.0115379829032748
5,0.011550469491996
6,0.0117264037038765
7,0.0118384576311298
8,0.0121024225272384
9,0.0125736554463704
10,0.0123928967644186
11,0.0125753019370284
13,0.0117827359367819
14,0.0117619897805008
15,0.0118478475832471
16,0.0119104291878494
17,0.0123446969424977
