scene_name,video_num,frame_num,PSNR
flame_salmon_1,0,177,29.3676
flame_salmon_1,0,178,29.3339
flame_salmon_1,0,179,29.3036
flame_salmon_1,0,180,29.2062
flame_salmon_1,0,181,29.211
flame_salmon_1,0,182,29.2634
flame_salmon_1,0,183,29.2598
flame_salmon_1,0,184,29.2215
flame_salmon_1,0,185,29.2748
flame_salmon_1,0,186,29.2955
flame_salmon_1,0,187,29.2479
flame_salmon_1,0,188,29.2441
flame_salmon_1,0,189,29.3092
flame_salmon_1,0,190,29.3099
flame_salmon_1,0,191,29.2946
flame_salmon_1,0,192,29.3007
flame_salmon_1,0,193,29.3281
flame_salmon_1,0,194,29.3026
flame_salmon_1,0,195,29.2088
flame_salmon_1,0,196,29.1734
flame_salmon_1,0,197,29.1501
flame_salmon_1,0,198,29.1831
flame_salmon_1,0,199,29.1256
flame_salmon_1,0,200,29.1907
flame_salmon_1,0,201,29.2592
flame_salmon_1,0,202,29.2681
flame_salmon_1,0,203,29.2063
flame_salmon_1,0,204,29.2737
flame_salmon_1,0,205,29.2767
flame_salmon_1,0,206,29.3442
flame_salmon_1,0,207,29.3382
flame_salmon_1,0,208,29.2684
flame_salmon_1,0,209,29.3017
flame_salmon_1,0,210,29.1999
flame_salmon_1,0,211,29.2539
flame_salmon_1,0,212,29.2261
flame_salmon_1,0,213,29.2269
flame_salmon_1,0,214,29.1955
flame_salmon_1,0,215,29.1618
flame_salmon_1,0,216,29.1687
flame_salmon_1,0,217,29.1577
flame_salmon_1,0,218,29.2268
flame_salmon_1,0,219,29.2759
flame_salmon_1,0,220,29.2344
flame_salmon_1,0,221,29.3102
flame_salmon_1,0,222,29.2756
flame_salmon_1,0,223,29.315
flame_salmon_1,0,224,29.2345
flame_salmon_1,0,225,29.3413
flame_salmon_1,0,226,29.3243
flame_salmon_1,0,227,29.3445
flame_salmon_1,0,228,29.3219
flame_salmon_1,0,229,29.3361
flame_salmon_1,0,230,29.2627
flame_salmon_1,0,231,29.2759
flame_salmon_1,0,232,29.2123
flame_salmon_1,0,233,29.2831
flame_salmon_1,0,234,29.2144
flame_salmon_1,0,235,29.252
flame_salmon_1,0,236,29.1643
flame_salmon_1,0,237,29.1459
flame_salmon_1,0,238,29.1062
flame_salmon_1,0,239,29.0578
flame_salmon_1,0,240,28.9806
flame_salmon_1,0,241,28.9707
flame_salmon_1,0,242,29.0073
flame_salmon_1,0,243,28.9813
flame_salmon_1,0,244,28.9637
flame_salmon_1,0,245,29.015
flame_salmon_1,0,246,29.1004
flame_salmon_1,0,247,29.1267
flame_salmon_1,0,248,29.1478
flame_salmon_1,0,249,29.1445
flame_salmon_1,0,250,29.1693
flame_salmon_1,0,251,29.1602
flame_salmon_1,0,252,29.2043
flame_salmon_1,0,253,29.2026
flame_salmon_1,0,254,29.2081
flame_salmon_1,0,255,29.3014
flame_salmon_1,0,256,29.2468
flame_salmon_1,0,257,29.2844
flame_salmon_1,0,258,29.1897
flame_salmon_1,0,259,29.2484
flame_salmon_1,0,260,29.2224
