scene_name,pred_video_num,pred_frame_num,DepthMAE02
Birthday,5,0,0.0528
Birthday,5,1,0.0526
Birthday,5,2,0.0527
Birthday,5,3,0.0526
Birthday,5,4,0.0524
Birthday,5,5,0.0526
Birthday,5,6,0.0526
Birthday,5,7,0.0526
Birthday,5,8,0.0525
Birthday,5,9,0.0526
Birthday,5,10,0.0525
Birthday,5,11,0.0524
Birthday,5,12,0.0524
Birthday,5,13,0.0526
Birthday,5,14,0.0525
Birthday,5,15,0.0525
Birthday,5,16,0.0525
Birthday,5,17,0.0524
Birthday,5,18,0.0523
Birthday,5,19,0.0523
Birthday,5,20,0.0524
Birthday,5,21,0.0522
Birthday,5,22,0.0522
Birthday,5,23,0.0522
Birthday,5,24,0.0521
Birthday,5,25,0.0518
Birthday,5,26,0.0518
Birthday,5,27,0.0517
Birthday,5,28,0.0518
Birthday,5,29,0.0518
Birthday,5,30,0.0517
Birthday,5,31,0.0519
Birthday,5,32,0.0519
Birthday,5,33,0.0519
Birthday,5,34,0.052
Birthday,5,35,0.0521
Birthday,5,36,0.0522
Birthday,5,37,0.0521
Birthday,5,38,0.0519
Birthday,5,39,0.052
Birthday,5,40,0.0519
Birthday,5,41,0.0517
Birthday,5,42,0.0516
Birthday,5,43,0.0516
Birthday,5,44,0.0517
Birthday,5,45,0.0516
Birthday,5,46,0.0515
Birthday,5,47,0.0514
Birthday,5,48,0.0517
Birthday,5,49,0.0519
Birthday,5,50,0.0519
Birthday,5,51,0.0518
Birthday,5,52,0.0516
Birthday,5,53,0.0516
Birthday,5,54,0.0517
Birthday,5,55,0.0521
Birthday,5,56,0.0518
Birthday,5,57,0.0517
Birthday,5,58,0.0516
Birthday,5,59,0.0514
Birthday,5,60,0.0511
Birthday,5,61,0.0511
Birthday,5,62,0.0509
Birthday,5,63,0.0509
Birthday,5,64,0.0509
Birthday,5,65,0.051
Birthday,5,66,0.0511
Birthday,5,67,0.0514
Birthday,5,68,0.0511
Birthday,5,69,0.0514
Birthday,5,70,0.0509
Birthday,5,71,0.0508
Birthday,5,72,0.0503
Birthday,5,73,0.0501
Birthday,5,74,0.0499
Birthday,5,75,0.0496
Birthday,5,76,0.0493
Birthday,5,77,0.0491
Birthday,5,78,0.0491
Birthday,5,79,0.0491
Birthday,5,80,0.0491
Birthday,5,81,0.0491
Birthday,5,82,0.0493
Birthday,5,83,0.0488
