scene_name,video_num,frame_num,RMSE
Painter,5,0,0.045170367
Painter,5,1,0.045334775
Painter,5,2,0.04534535
Painter,5,3,0.045310497
Painter,5,4,0.045261294
Painter,5,5,0.0451041
Painter,5,6,0.045071863
Painter,5,7,0.04521529
Painter,5,8,0.04563451
Painter,5,9,0.046493374
Painter,5,10,0.04674869
Painter,5,11,0.04626595
Painter,5,12,0.04716265
Painter,5,13,0.048329905
Painter,5,14,0.048395574
Painter,5,15,0.046529144
Painter,5,16,0.047995362
Painter,5,17,0.0483668
Painter,5,18,0.047863286
Painter,5,19,0.049533095
Painter,5,20,0.04885815
Painter,5,21,0.048971128
Painter,5,22,0.050986487
Painter,5,23,0.053261604
Painter,5,24,0.051880524
Painter,5,25,0.050723214
Painter,5,26,0.051669303
Painter,5,27,0.051237885
Painter,5,28,0.0495497
Painter,5,29,0.047777813
Painter,5,30,0.04774704
Painter,5,31,0.048287
Painter,5,32,0.047694817
Painter,5,33,0.047671977
Painter,5,34,0.047796328
Painter,5,35,0.048365977
Painter,5,36,0.046588335
Painter,5,37,0.04737608
Painter,5,38,0.047549255
Painter,5,39,0.045812454
Painter,5,40,0.045759875
Painter,5,41,0.04642731
Painter,5,42,0.046580113
Painter,5,43,0.047479264
Painter,5,44,0.0467697
Painter,5,45,0.048254054
Painter,5,46,0.04771878
Painter,5,47,0.047484078
Painter,5,48,0.048640106
Painter,5,49,0.04788227
Painter,5,50,0.046713017
Painter,5,51,0.04705109
Painter,5,52,0.047588434
Painter,5,53,0.048219524
Painter,5,54,0.050507408
Painter,5,55,0.04943859
Painter,5,56,0.048355613
Painter,5,57,0.050421473
Painter,5,58,0.051144626
Painter,5,59,0.049861453
Painter,5,60,0.048800513
Painter,5,61,0.04909883
Painter,5,62,0.048300583
Painter,5,63,0.049071416
Painter,5,64,0.051022045
Painter,5,65,0.05241399
Painter,5,66,0.05170043
Painter,5,67,0.05364017
Painter,5,68,0.052499585
Painter,5,69,0.053745236
Painter,5,70,0.05298493
Painter,5,71,0.050194364
Painter,5,72,0.04914099
Painter,5,73,0.048326567
Painter,5,74,0.05206037
Painter,5,75,0.051738832
Painter,5,76,0.051584873
Painter,5,77,0.048653707
Painter,5,78,0.049330514
Painter,5,79,0.0504162
Painter,5,80,0.048438042
Painter,5,81,0.04733706
Painter,5,82,0.047445107
Painter,5,83,0.048200775
Painter,5,84,0.048325058
Painter,5,85,0.047958016
Painter,5,86,0.048011452
Painter,5,87,0.04847169
Painter,5,88,0.04848079
Painter,5,89,0.047944568
Painter,5,90,0.047186684
Painter,5,91,0.046985634
Painter,5,92,0.047093954
Painter,5,93,0.04705003
Painter,5,94,0.046842925
Painter,5,95,0.04672416
Painter,5,96,0.0469788
Painter,5,97,0.047272958
Painter,5,98,0.047245275
Painter,5,99,0.047366448
Painter,5,100,0.04800372
Painter,5,101,0.04682679
Painter,5,102,0.046523083
Painter,5,103,0.046515107
Painter,5,104,0.046877004
Painter,5,105,0.047322538
Painter,5,106,0.046181027
Painter,5,107,0.045681655
Painter,5,108,0.045959506
Painter,5,109,0.045798186
Painter,5,110,0.04571954
Painter,5,111,0.04581147
Painter,5,112,0.04596345
Painter,5,113,0.046152502
Painter,5,114,0.04612502
Painter,5,115,0.04614275
Painter,5,116,0.046018217
Painter,5,117,0.046019148
Painter,5,118,0.046021674
Painter,5,119,0.046007667
Painter,5,120,0.046025254
Painter,5,121,0.045917373
Painter,5,122,0.04570694
Painter,5,123,0.045917448
Painter,5,124,0.046107017
Painter,5,125,0.046238687
Painter,5,126,0.046020113
Painter,5,127,0.045901477
Painter,5,128,0.045884825
Painter,5,129,0.045963094
Painter,5,130,0.045873236
Painter,5,131,0.046055734
Painter,5,132,0.046103258
Painter,5,133,0.046170548
Painter,5,134,0.046112854
Painter,5,135,0.046167742
Painter,5,136,0.04616016
Painter,5,137,0.0461885
Painter,5,138,0.046192907
Painter,5,139,0.046268385
Painter,5,140,0.046231985
Painter,5,141,0.04620041
Painter,5,142,0.046277706
Painter,5,143,0.04606459
Painter,5,144,0.046345457
Painter,5,145,0.046446178
Painter,5,146,0.046417847
Painter,5,147,0.046613283
Painter,5,148,0.046655465
Painter,5,149,0.047007952
Painter,5,150,0.04682986
Painter,5,151,0.046878718
Painter,5,152,0.046985425
Painter,5,153,0.047485072
Painter,5,154,0.04748537
Painter,5,155,0.047501646
Painter,5,156,0.04701959
Painter,5,157,0.04683775
Painter,5,158,0.046796665
Painter,5,159,0.046825156
Painter,5,160,0.046550117
Painter,5,161,0.046441205
Painter,5,162,0.04634566
Painter,5,163,0.046479948
