scene_name,video_num,frame_num,RMSE
Birthday,5,0,0.07073422
Birthday,5,1,0.07019806
Birthday,5,2,0.070186585
Birthday,5,3,0.06968074
Birthday,5,4,0.069581576
Birthday,5,5,0.06975504
Birthday,5,6,0.07020672
Birthday,5,7,0.06933755
Birthday,5,8,0.068775594
Birthday,5,9,0.0686635
Birthday,5,10,0.06892836
Birthday,5,11,0.06912098
Birthday,5,12,0.06965795
Birthday,5,13,0.069169484
Birthday,5,14,0.06904201
Birthday,5,15,0.069421746
Birthday,5,16,0.070206255
Birthday,5,17,0.069887124
Birthday,5,18,0.06993719
Birthday,5,19,0.06958556
Birthday,5,20,0.06952585
Birthday,5,21,0.06940474
Birthday,5,22,0.06981805
Birthday,5,23,0.06974055
Birthday,5,24,0.07000964
Birthday,5,25,0.06936023
Birthday,5,26,0.06898278
Birthday,5,27,0.06943674
Birthday,5,28,0.07034467
Birthday,5,29,0.070166916
Birthday,5,30,0.07021195
Birthday,5,31,0.070792526
Birthday,5,32,0.07186284
Birthday,5,33,0.07107669
Birthday,5,34,0.07027248
Birthday,5,35,0.06966862
Birthday,5,36,0.06927953
Birthday,5,37,0.070060216
Birthday,5,38,0.07106815
Birthday,5,39,0.0708076
Birthday,5,40,0.07047213
Birthday,5,41,0.07073482
Birthday,5,42,0.07107604
Birthday,5,43,0.07146105
Birthday,5,44,0.07180813
Birthday,5,45,0.071772404
Birthday,5,46,0.07172307
Birthday,5,47,0.071295895
Birthday,5,48,0.070884384
Birthday,5,49,0.07070567
Birthday,5,50,0.070620425
Birthday,5,51,0.07105401
Birthday,5,52,0.07162164
Birthday,5,53,0.07166574
Birthday,5,54,0.071683355
Birthday,5,55,0.07126401
Birthday,5,56,0.07092064
Birthday,5,57,0.07044423
Birthday,5,58,0.07012341
Birthday,5,59,0.06978141
Birthday,5,60,0.06953725
Birthday,5,61,0.06998016
Birthday,5,62,0.07088335
Birthday,5,63,0.07090742
Birthday,5,64,0.070837654
Birthday,5,65,0.07086923
Birthday,5,66,0.07125217
Birthday,5,67,0.07183481
Birthday,5,68,0.07332433
Birthday,5,69,0.071811624
Birthday,5,70,0.07022219
Birthday,5,71,0.0708611
Birthday,5,72,0.071831815
Birthday,5,73,0.07064604
Birthday,5,74,0.06986097
Birthday,5,75,0.0694947
Birthday,5,76,0.07126978
Birthday,5,77,0.07146921
Birthday,5,78,0.07071898
Birthday,5,79,0.068704195
Birthday,5,80,0.06815192
Birthday,5,81,0.069744006
Birthday,5,82,0.07067111
Birthday,5,83,0.07127546
Birthday,5,84,0.07304196
Birthday,5,85,0.07269328
Birthday,5,86,0.0737636
Birthday,5,87,0.07429553
Birthday,5,88,0.074415326
Birthday,5,89,0.073578894
Birthday,5,90,0.07308092
Birthday,5,91,0.072530255
Birthday,5,92,0.07201295
Birthday,5,93,0.07218644
Birthday,5,94,0.07244563
Birthday,5,95,0.07199322
Birthday,5,96,0.07380119
Birthday,5,97,0.073172994
Birthday,5,98,0.07191767
Birthday,5,99,0.073822245
Birthday,5,100,0.074393295
Birthday,5,101,0.072018415
Birthday,5,102,0.0703284
Birthday,5,103,0.07031152
Birthday,5,104,0.07043405
Birthday,5,105,0.070320345
Birthday,5,106,0.06917819
Birthday,5,107,0.06893316
Birthday,5,108,0.069183625
Birthday,5,109,0.06918506
Birthday,5,110,0.069670126
Birthday,5,111,0.06810232
Birthday,5,112,0.067441896
Birthday,5,113,0.06832362
Birthday,5,114,0.069202565
Birthday,5,115,0.06818699
Birthday,5,116,0.067153245
Birthday,5,117,0.06702788
Birthday,5,118,0.068032056
Birthday,5,119,0.06911996
Birthday,5,120,0.07011349
Birthday,5,121,0.0693887
Birthday,5,122,0.0693238
Birthday,5,123,0.06940868
Birthday,5,124,0.07090578
Birthday,5,125,0.07083663
Birthday,5,126,0.06989488
Birthday,5,127,0.0700241
Birthday,5,128,0.071280636
Birthday,5,129,0.07076558
Birthday,5,130,0.07210698
Birthday,5,131,0.07198319
Birthday,5,132,0.07206357
Birthday,5,133,0.07111633
Birthday,5,134,0.070666365
Birthday,5,135,0.07070586
Birthday,5,136,0.069907136
Birthday,5,137,0.06909568
Birthday,5,138,0.06951741
Birthday,5,139,0.0684432
Birthday,5,140,0.06881456
Birthday,5,141,0.06844709
Birthday,5,142,0.068885155
Birthday,5,143,0.06823766
Birthday,5,144,0.06841615
Birthday,5,145,0.068189554
Birthday,5,146,0.068575814
Birthday,5,147,0.06805157
Birthday,5,148,0.068748355
Birthday,5,149,0.06883487
