scene_name,pred_video_num,pred_frame_num,DepthMAE02
Birthday,5,0,0.1803
Birthday,5,1,0.1778
Birthday,5,2,0.1771
Birthday,5,3,0.1768
Birthday,5,4,0.1765
Birthday,5,5,0.1765
Birthday,5,6,0.1765
Birthday,5,7,0.1763
Birthday,5,8,0.1763
Birthday,5,9,0.176
Birthday,5,10,0.1771
Birthday,5,11,0.1767
Birthday,5,12,0.176
Birthday,5,13,0.176
Birthday,5,14,0.1763
Birthday,5,15,0.1762
Birthday,5,16,0.1761
Birthday,5,17,0.1757
Birthday,5,18,0.1757
Birthday,5,19,0.1778
Birthday,5,20,0.1779
Birthday,5,21,0.1773
Birthday,5,22,0.1774
Birthday,5,23,0.177
Birthday,5,24,0.1747
Birthday,5,25,0.1754
Birthday,5,26,0.1752
Birthday,5,27,0.1745
Birthday,5,28,0.174
Birthday,5,29,0.1746
Birthday,5,30,0.1746
Birthday,5,31,0.1746
Birthday,5,32,0.1734
Birthday,5,33,0.1732
Birthday,5,34,0.1732
Birthday,5,35,0.1732
Birthday,5,36,0.1732
Birthday,5,37,0.1731
Birthday,5,38,0.173
Birthday,5,39,0.173
Birthday,5,40,0.173
Birthday,5,41,0.1729
Birthday,5,42,0.173
Birthday,5,43,0.173
Birthday,5,44,0.1736
Birthday,5,45,0.1736
Birthday,5,46,0.1735
Birthday,5,47,0.1732
Birthday,5,48,0.1746
Birthday,5,49,0.1748
Birthday,5,50,0.1752
Birthday,5,51,0.1757
Birthday,5,52,0.1758
Birthday,5,53,0.1754
Birthday,5,54,0.1749
Birthday,5,55,0.1755
Birthday,5,56,0.1755
Birthday,5,57,0.176
Birthday,5,58,0.1753
Birthday,5,59,0.1747
Birthday,5,60,0.1743
Birthday,5,61,0.1741
Birthday,5,62,0.174
Birthday,5,63,0.174
Birthday,5,64,0.1741
Birthday,5,65,0.174
Birthday,5,66,0.1738
Birthday,5,67,0.1734
Birthday,5,68,0.1724
Birthday,5,69,0.1719
Birthday,5,70,0.1701
Birthday,5,71,0.1699
Birthday,5,72,0.1689
Birthday,5,73,0.1689
Birthday,5,74,0.169
Birthday,5,75,0.1684
Birthday,5,76,0.1679
Birthday,5,77,0.1674
Birthday,5,78,0.1663
Birthday,5,79,0.1637
Birthday,5,80,0.1623
Birthday,5,81,0.1611
Birthday,5,82,0.1598
Birthday,5,83,0.1588
Birthday,5,84,0.1581
Birthday,5,85,0.1579
Birthday,5,86,0.1567
Birthday,5,87,0.1558
Birthday,5,88,0.1548
Birthday,5,89,0.1542
Birthday,5,90,0.1539
Birthday,5,91,0.1529
Birthday,5,92,0.1513
Birthday,5,93,0.1514
Birthday,5,94,0.1526
Birthday,5,95,0.1523
Birthday,5,96,0.152
Birthday,5,97,0.1528
Birthday,5,98,0.1534
Birthday,5,99,0.1543
Birthday,5,100,0.1548
Birthday,5,101,0.1569
Birthday,5,102,0.1578
Birthday,5,103,0.1586
Birthday,5,104,0.1582
Birthday,5,105,0.1583
Birthday,5,106,0.1583
Birthday,5,107,0.159
Birthday,5,108,0.1599
Birthday,5,109,0.1604
Birthday,5,110,0.1611
Birthday,5,111,0.1624
Birthday,5,112,0.1637
Birthday,5,113,0.1645
Birthday,5,114,0.1658
Birthday,5,115,0.166
Birthday,5,116,0.1653
Birthday,5,117,0.1662
Birthday,5,118,0.1659
Birthday,5,119,0.166
Birthday,5,120,0.1663
Birthday,5,121,0.166
Birthday,5,122,0.1651
Birthday,5,123,0.1657
Birthday,5,124,0.1657
Birthday,5,125,0.1658
Birthday,5,126,0.1655
Birthday,5,127,0.1657
Birthday,5,128,0.1659
Birthday,5,129,0.1672
Birthday,5,130,0.1662
Birthday,5,131,0.1664
Birthday,5,132,0.168
Birthday,5,133,0.1688
Birthday,5,134,0.168
Birthday,5,135,0.1687
Birthday,5,136,0.169
