scene_name,pred_video_num,pred_frame_num,DepthRMSE02
Birthday,5,0,0.2495
Birthday,5,1,0.2471
Birthday,5,2,0.2468
Birthday,5,3,0.2465
Birthday,5,4,0.2463
Birthday,5,5,0.2461
Birthday,5,6,0.2462
Birthday,5,7,0.246
Birthday,5,8,0.2459
Birthday,5,9,0.2457
Birthday,5,10,0.2466
Birthday,5,11,0.2461
Birthday,5,12,0.2457
Birthday,5,13,0.2456
Birthday,5,14,0.2459
Birthday,5,15,0.2458
Birthday,5,16,0.2456
Birthday,5,17,0.2453
Birthday,5,18,0.2452
Birthday,5,19,0.2467
Birthday,5,20,0.247
Birthday,5,21,0.2464
Birthday,5,22,0.2464
Birthday,5,23,0.2455
Birthday,5,24,0.244
Birthday,5,25,0.2445
Birthday,5,26,0.245
Birthday,5,27,0.2443
Birthday,5,28,0.2439
Birthday,5,29,0.2444
Birthday,5,30,0.2445
Birthday,5,31,0.2443
Birthday,5,32,0.243
Birthday,5,33,0.2429
Birthday,5,34,0.2428
Birthday,5,35,0.243
Birthday,5,36,0.243
Birthday,5,37,0.2431
Birthday,5,38,0.2429
Birthday,5,39,0.2429
Birthday,5,40,0.2428
Birthday,5,41,0.2427
Birthday,5,42,0.2429
Birthday,5,43,0.2429
Birthday,5,44,0.2436
Birthday,5,45,0.2436
Birthday,5,46,0.2434
Birthday,5,47,0.2424
Birthday,5,48,0.2435
Birthday,5,49,0.2436
Birthday,5,50,0.2441
Birthday,5,51,0.2441
Birthday,5,52,0.244
Birthday,5,53,0.2434
Birthday,5,54,0.2433
Birthday,5,55,0.2439
Birthday,5,56,0.2437
Birthday,5,57,0.2439
Birthday,5,58,0.2434
Birthday,5,59,0.2426
Birthday,5,60,0.2418
Birthday,5,61,0.2412
Birthday,5,62,0.2406
Birthday,5,63,0.2404
Birthday,5,64,0.2403
Birthday,5,65,0.2399
Birthday,5,66,0.2392
Birthday,5,67,0.2382
Birthday,5,68,0.2368
Birthday,5,69,0.236
Birthday,5,70,0.2337
Birthday,5,71,0.2331
Birthday,5,72,0.232
Birthday,5,73,0.2321
Birthday,5,74,0.2323
Birthday,5,75,0.2318
Birthday,5,76,0.2314
Birthday,5,77,0.2311
Birthday,5,78,0.2301
Birthday,5,79,0.2268
Birthday,5,80,0.2252
Birthday,5,81,0.2239
Birthday,5,82,0.2224
Birthday,5,83,0.2214
Birthday,5,84,0.2207
Birthday,5,85,0.2205
Birthday,5,86,0.2195
Birthday,5,87,0.2188
Birthday,5,88,0.2179
Birthday,5,89,0.2174
Birthday,5,90,0.2173
Birthday,5,91,0.2164
Birthday,5,92,0.215
Birthday,5,93,0.215
Birthday,5,94,0.2162
Birthday,5,95,0.2158
Birthday,5,96,0.2156
Birthday,5,97,0.2161
Birthday,5,98,0.2164
Birthday,5,99,0.2169
Birthday,5,100,0.2167
Birthday,5,101,0.2182
Birthday,5,102,0.22
Birthday,5,103,0.2214
Birthday,5,104,0.2212
Birthday,5,105,0.2214
Birthday,5,106,0.2213
Birthday,5,107,0.2218
Birthday,5,108,0.2224
Birthday,5,109,0.2229
Birthday,5,110,0.2239
Birthday,5,111,0.2253
Birthday,5,112,0.227
Birthday,5,113,0.2282
Birthday,5,114,0.2289
Birthday,5,115,0.2296
Birthday,5,116,0.2293
Birthday,5,117,0.2301
Birthday,5,118,0.2303
Birthday,5,119,0.2305
Birthday,5,120,0.2309
Birthday,5,121,0.2301
Birthday,5,122,0.2293
Birthday,5,123,0.23
Birthday,5,124,0.2299
Birthday,5,125,0.2304
Birthday,5,126,0.231
Birthday,5,127,0.2316
Birthday,5,128,0.2321
Birthday,5,129,0.2332
Birthday,5,130,0.2329
Birthday,5,131,0.2332
