scene_name,video_num,frame_num,MS_SSIM
Train,5,0,0.8610444068908691
Train,5,1,0.8608871102333069
Train,5,2,0.8589093089103699
Train,5,3,0.8583783507347107
Train,5,4,0.8575373888015747
Train,5,5,0.8582314252853394
Train,5,6,0.858644962310791
Train,5,7,0.8607545495033264
Train,5,8,0.8620644211769104
Train,5,9,0.8630026578903198
Train,5,10,0.8626385927200317
Train,5,11,0.8631978631019592
Train,5,12,0.8627896904945374
Train,5,13,0.8636162281036377
Train,5,14,0.8634098768234253
Train,5,15,0.8630621433258057
Train,5,16,0.8618285059928894
Train,5,17,0.862180769443512
Train,5,18,0.8624188303947449
Train,5,19,0.8616764545440674
Train,5,20,0.8607439994812012
Train,5,21,0.8610954880714417
Train,5,22,0.8622061014175415
Train,5,23,0.8633190989494324
Train,5,24,0.8614187240600586
Train,5,25,0.8606105446815491
Train,5,26,0.8601295948028564
Train,5,27,0.8606846332550049
Train,5,28,0.8614366054534912
Train,5,29,0.8630357980728149
Train,5,30,0.8633320927619934
Train,5,31,0.8637393116950989
Train,5,32,0.8632242679595947
Train,5,33,0.8626004457473755
Train,5,34,0.8609316945075989
Train,5,35,0.8596387505531311
Train,5,36,0.8582215309143066
Train,5,37,0.8589276671409607
Train,5,38,0.8602166771888733
Train,5,39,0.862798810005188
Train,5,40,0.8639730215072632
Train,5,41,0.8641700148582458
Train,5,42,0.8630152940750122
Train,5,43,0.862201452255249
Train,5,44,0.8612277507781982
Train,5,45,0.8604693412780762
Train,5,46,0.8597254157066345
Train,5,47,0.8604093790054321
Train,5,48,0.8613817691802979
Train,5,49,0.86285001039505
Train,5,50,0.862596333026886
Train,5,51,0.8625478744506836
Train,5,52,0.8619216680526733
Train,5,53,0.861172616481781
Train,5,54,0.860661506652832
Train,5,55,0.8613408803939819
Train,5,56,0.8614696860313416
Train,5,57,0.8611449003219604
Train,5,58,0.8605047464370728
Train,5,59,0.859973132610321
Train,5,60,0.8595450520515442
Train,5,61,0.8590378165245056
Train,5,62,0.85797518491745
Train,5,63,0.8577715158462524
Train,5,64,0.857699990272522
Train,5,65,0.8588196635246277
Train,5,66,0.8591567277908325
Train,5,67,0.8592366576194763
Train,5,68,0.8584240078926086
Train,5,69,0.8587527275085449
Train,5,70,0.8583661913871765
Train,5,71,0.8580197691917419
Train,5,72,0.8567433953285217
Train,5,73,0.8568311929702759
Train,5,74,0.8572381734848022
Train,5,75,0.8577113747596741
Train,5,76,0.856863796710968
Train,5,77,0.8560683131217957
Train,5,78,0.8548770546913147
Train,5,79,0.8548896908760071
Train,5,80,0.8557090759277344
Train,5,81,0.8570326566696167
Train,5,82,0.8581886291503906
Train,5,83,0.8587779402732849
Train,5,84,0.8583840727806091
Train,5,85,0.8582741618156433
Train,5,86,0.8567793369293213
Train,5,87,0.8550476431846619
Train,5,88,0.8536332249641418
Train,5,89,0.8540762066841125
Train,5,90,0.8560201525688171
Train,5,91,0.8572256565093994
Train,5,92,0.8575119376182556
Train,5,93,0.858228862285614
Train,5,94,0.8582486510276794
Train,5,95,0.8574216365814209
Train,5,96,0.8553270101547241
Train,5,97,0.8540883660316467
Train,5,98,0.8536315560340881
Train,5,99,0.8539717793464661
Train,5,100,0.854428768157959
Train,5,101,0.8555007576942444
Train,5,102,0.856323778629303
Train,5,103,0.8574649095535278
Train,5,104,0.8566928505897522
Train,5,105,0.855332612991333
Train,5,106,0.8542929291725159
Train,5,107,0.8552883863449097
Train,5,108,0.8561723232269287
Train,5,109,0.8560926914215088
Train,5,110,0.8554018139839172
Train,5,111,0.8557511568069458
Train,5,112,0.856711745262146
Train,5,113,0.8577898144721985
Train,5,114,0.8575918674468994
Train,5,115,0.8562829494476318
Train,5,116,0.8553003072738647
Train,5,117,0.8552448153495789
Train,5,118,0.855802059173584
Train,5,119,0.8552939295768738
Train,5,120,0.8555808663368225
Train,5,121,0.8566184639930725
Train,5,122,0.8567377924919128
Train,5,123,0.8568707704544067
Train,5,124,0.8572033047676086
Train,5,125,0.8580080270767212
Train,5,126,0.8572239875793457
Train,5,127,0.8566895127296448
Train,5,128,0.856116533279419
Train,5,129,0.8557378053665161
Train,5,130,0.8557438254356384
Train,5,131,0.8565890789031982
Train,5,132,0.8565911054611206
Train,5,133,0.8571024537086487
Train,5,134,0.8575320243835449
Train,5,135,0.8576347827911377
Train,5,136,0.8570489883422852
Train,5,137,0.8559107184410095
Train,5,138,0.8545452952384949
Train,5,139,0.8541886806488037
Train,5,140,0.8544768691062927
Train,5,141,0.8558514714241028
Train,5,142,0.8569850325584412
Train,5,143,0.8579456210136414
Train,5,144,0.857481837272644
Train,5,145,0.8576114177703857
Train,5,146,0.8571667075157166
Train,5,147,0.8571984171867371
Train,5,148,0.8568238019943237
Train,5,149,0.8575627207756042
Train,5,150,0.8580054640769958
Train,5,151,0.858668863773346
Train,5,152,0.8589886426925659
Train,5,153,0.8595063090324402
Train,5,154,0.8588650226593018
Train,5,155,0.8590192198753357
Train,5,156,0.8591831922531128
Train,5,157,0.8592951893806458
Train,5,158,0.8589631915092468
Train,5,159,0.8588435649871826
Train,5,160,0.8583388924598694
Train,5,161,0.8586849570274353
Train,5,162,0.8585634827613831
Train,5,163,0.8590400218963623
Train,5,164,0.8592596650123596
Train,5,165,0.8592086434364319
Train,5,166,0.858325719833374
Train,5,167,0.8586571216583252
Train,5,168,0.8586214184761047
Train,5,169,0.8593446612358093
Train,5,170,0.8595989346504211
Train,5,171,0.8598051071166992
Train,5,172,0.8593370318412781
Train,5,173,0.8595014810562134
Train,5,174,0.8592600226402283
