scene_name,video_num,frame_num,MSE
Painter,5,0,0.003724654
Painter,5,1,0.003717938
Painter,5,2,0.003717683
Painter,5,3,0.0037183224
Painter,5,4,0.0037231147
Painter,5,5,0.0037170385
Painter,5,6,0.003721721
Painter,5,7,0.003725862
Painter,5,8,0.0037534535
Painter,5,9,0.0037996103
Painter,5,10,0.0038867854
Painter,5,11,0.0039168578
Painter,5,12,0.003851695
Painter,5,13,0.0038924913
Painter,5,14,0.003925964
Painter,5,15,0.0038897067
Painter,5,16,0.0038383675
Painter,5,17,0.0039512212
Painter,5,18,0.004018054
Painter,5,19,0.0043238015
Painter,5,20,0.0043628914
Painter,5,21,0.0042755366
Painter,5,22,0.0039591477
Painter,5,23,0.0039828015
Painter,5,24,0.004028659
Painter,5,25,0.0038275858
Painter,5,26,0.0038159005
Painter,5,27,0.003740635
Painter,5,28,0.003688569
Painter,5,29,0.0037874472
Painter,5,30,0.0037447386
Painter,5,31,0.0037409433
Painter,5,32,0.00386504
Painter,5,33,0.0038774933
Painter,5,34,0.0038296783
Painter,5,35,0.0037903686
Painter,5,36,0.004139814
Painter,5,37,0.0043275165
Painter,5,38,0.0043052323
Painter,5,39,0.00392996
Painter,5,40,0.0036093206
Painter,5,41,0.0036386321
Painter,5,42,0.003682251
Painter,5,43,0.0038746123
Painter,5,44,0.0037689118
Painter,5,45,0.003688111
Painter,5,46,0.003892423
Painter,5,47,0.0039056311
Painter,5,48,0.0037042242
Painter,5,49,0.0036436112
Painter,5,50,0.003946041
Painter,5,51,0.004078961
Painter,5,52,0.0041187843
Painter,5,53,0.004110988
Painter,5,54,0.0041113514
Painter,5,55,0.003998371
Painter,5,56,0.0039962046
Painter,5,57,0.0037886717
Painter,5,58,0.0034698027
Painter,5,59,0.003445821
Painter,5,60,0.003721581
Painter,5,61,0.0037631814
Painter,5,62,0.0038050998
Painter,5,63,0.0039360356
Painter,5,64,0.0039124386
Painter,5,65,0.00420005
Painter,5,66,0.0044347136
Painter,5,67,0.004374584
Painter,5,68,0.004073116
Painter,5,69,0.0039254525
Painter,5,70,0.0037421966
Painter,5,71,0.0037454753
Painter,5,72,0.0040108818
Painter,5,73,0.0037349542
Painter,5,74,0.0039859554
Painter,5,75,0.004102764
Painter,5,76,0.0036750264
Painter,5,77,0.003653602
Painter,5,78,0.0037912948
Painter,5,79,0.0038291437
Painter,5,80,0.0036838201
Painter,5,81,0.0036420166
Painter,5,82,0.0036175584
Painter,5,83,0.0035815618
Painter,5,84,0.0035866897
Painter,5,85,0.003595556
Painter,5,86,0.0036073718
Painter,5,87,0.0036003273
Painter,5,88,0.0036021553
Painter,5,89,0.0035925035
Painter,5,90,0.0035994616
Painter,5,91,0.0035899638
Painter,5,92,0.0035935717
Painter,5,93,0.0035726852
Painter,5,94,0.0035684393
Painter,5,95,0.0035683054
Painter,5,96,0.003598009
Painter,5,97,0.0035829027
Painter,5,98,0.003574981
Painter,5,99,0.0035540322
Painter,5,100,0.003559031
Painter,5,101,0.0035438077
Painter,5,102,0.003540269
Painter,5,103,0.0035326988
Painter,5,104,0.003530119
Painter,5,105,0.0035151148
Painter,5,106,0.0035147476
Painter,5,107,0.0034866617
Painter,5,108,0.0034938646
Painter,5,109,0.0034720607
Painter,5,110,0.0034803979
Painter,5,111,0.0034665144
Painter,5,112,0.003464588
Painter,5,113,0.003463949
Painter,5,114,0.0034626478
Painter,5,115,0.0034588464
Painter,5,116,0.0034609986
Painter,5,117,0.0034632199
Painter,5,118,0.0034773368
Painter,5,119,0.0034641477
Painter,5,120,0.0034644569
Painter,5,121,0.0034601141
Painter,5,122,0.0034644657
Painter,5,123,0.0034631398
Painter,5,124,0.0034672397
Painter,5,125,0.003468169
Painter,5,126,0.0034668588
Painter,5,127,0.0034620306
Painter,5,128,0.0034660108
Painter,5,129,0.0034698395
Painter,5,130,0.0034720015
Painter,5,131,0.0034700644
Painter,5,132,0.0034702823
Painter,5,133,0.0034706062
Painter,5,134,0.003473281
Painter,5,135,0.0034736777
Painter,5,136,0.0034771976
Painter,5,137,0.0034796405
Painter,5,138,0.0034850768
Painter,5,139,0.0034822396
Painter,5,140,0.0034861115
Painter,5,141,0.0034746057
