scene_name,video_num,frame_num,MSE
flame_salmon_1,0,0,0.008787407
flame_salmon_1,0,1,0.008698309
flame_salmon_1,0,2,0.008635198
flame_salmon_1,0,3,0.008537336
flame_salmon_1,0,4,0.008509951
flame_salmon_1,0,5,0.008462171
flame_salmon_1,0,6,0.008419493
flame_salmon_1,0,7,0.008419081
flame_salmon_1,0,8,0.008502846
flame_salmon_1,0,9,0.008529049
flame_salmon_1,0,10,0.008591893
flame_salmon_1,0,11,0.008571214
flame_salmon_1,0,12,0.008569923
flame_salmon_1,0,13,0.008539542
flame_salmon_1,0,14,0.008529206
flame_salmon_1,0,15,0.008464818
flame_salmon_1,0,16,0.008422126
flame_salmon_1,0,17,0.008399717
flame_salmon_1,0,18,0.008419191
flame_salmon_1,0,19,0.008407476
flame_salmon_1,0,20,0.008383662
flame_salmon_1,0,21,0.008365084
flame_salmon_1,0,22,0.008369491
flame_salmon_1,0,23,0.008355069
flame_salmon_1,0,24,0.008327029
flame_salmon_1,0,25,0.00830221
flame_salmon_1,0,26,0.008300906
flame_salmon_1,0,27,0.008303411
flame_salmon_1,0,28,0.008372414
flame_salmon_1,0,29,0.008303228
flame_salmon_1,0,30,0.008297565
flame_salmon_1,0,31,0.008288344
flame_salmon_1,0,32,0.008304996
flame_salmon_1,0,33,0.00827063
flame_salmon_1,0,34,0.008253966
flame_salmon_1,0,35,0.008242079
flame_salmon_1,0,36,0.008264878
flame_salmon_1,0,37,0.008264549
flame_salmon_1,0,38,0.0083079245
flame_salmon_1,0,39,0.008287751
flame_salmon_1,0,40,0.008268962
flame_salmon_1,0,41,0.008237528
flame_salmon_1,0,42,0.00825158
flame_salmon_1,0,43,0.008244896
flame_salmon_1,0,44,0.008271236
flame_salmon_1,0,45,0.008291763
flame_salmon_1,0,46,0.008297253
flame_salmon_1,0,47,0.008328278
flame_salmon_1,0,48,0.008352704
flame_salmon_1,0,49,0.008331311
flame_salmon_1,0,50,0.008302268
flame_salmon_1,0,51,0.008284355
flame_salmon_1,0,52,0.008258162
flame_salmon_1,0,53,0.008215417
flame_salmon_1,0,54,0.008226455
flame_salmon_1,0,55,0.008254327
flame_salmon_1,0,56,0.008264321
flame_salmon_1,0,57,0.008268977
flame_salmon_1,0,58,0.008305065
flame_salmon_1,0,59,0.008335059
flame_salmon_1,0,60,0.008391313
flame_salmon_1,0,61,0.008369561
flame_salmon_1,0,62,0.0083456235
flame_salmon_1,0,63,0.008278779
